year,frac_wali_ww_industrial_treatment_path_advanced_anaerobic,frac_wali_ww_industrial_treatment_path_secondary_anaerobic,frac_wali_ww_industrial_treatment_path_untreated_with_sewerage,frac_wali_ww_domestic_rural_treatment_path_septic,frac_wali_ww_domestic_rural_treatment_path_latrine_improved,frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved,frac_wali_ww_domestic_urban_treatment_path_advanced_anaerobic,frac_wali_ww_domestic_urban_treatment_path_secondary_anaerobic,frac_wali_ww_domestic_urban_treatment_path_latrine_improved,frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,frac_wali_ww_industrial_treatment_path_untreated_no_sewerage,frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage,frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage,frac_wali_ww_industrial_treatment_path_advanced_aerobic,frac_wali_ww_industrial_treatment_path_latrine_improved,frac_wali_ww_industrial_treatment_path_latrine_unimproved,frac_wali_ww_industrial_treatment_path_primary,frac_wali_ww_industrial_treatment_path_secondary_aerobic,frac_wali_ww_industrial_treatment_path_septic,frac_wali_ww_domestic_rural_treatment_path_advanced_aerobic,frac_wali_ww_domestic_rural_treatment_path_advanced_anaerobic,frac_wali_ww_domestic_rural_treatment_path_primary,frac_wali_ww_domestic_rural_treatment_path_secondary_aerobic,frac_wali_ww_domestic_rural_treatment_path_secondary_anaerobic,frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage,frac_wali_ww_domestic_urban_treatment_path_advanced_aerobic,frac_wali_ww_domestic_urban_treatment_path_primary,frac_wali_ww_domestic_urban_treatment_path_secondary_aerobic,frac_wali_ww_domestic_urban_treatment_path_septic,frac_wali_ww_domestic_urban_treatment_path_untreated_with_sewerage
2010,0.04775,0.14325000000000002,0.5769791666666667,0.14325000000000002,0.15916666666666668,0.44566666666666677,0.04775,0.14325000000000002,0.2546666666666667,0.32231250000000006,0.23202083333333334,0.25191666666666657,0.23202083333333323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.048624999999999995,0.14587499999999998,0.5875520833333332,0.14587499999999998,0.16208333333333333,0.4538333333333333,0.048624999999999995,0.14587499999999998,0.2593333333333333,0.32821875,0.2179479166666668,0.23820833333333336,0.21794791666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.049499999999999995,0.1485,0.5981249999999999,0.1485,0.165,0.462,0.049499999999999995,0.1485,0.264,0.334125,0.20387500000000014,0.22449999999999992,0.20387500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.05037499999999999,0.15112499999999998,0.6086979166666666,0.15112499999999998,0.16791666666666666,0.4701666666666667,0.05037499999999999,0.15112499999999998,0.26866666666666666,0.34003125,0.18980208333333337,0.2107916666666667,0.18980208333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.05125,0.15375,0.6192708333333333,0.15375,0.17083333333333334,0.47833333333333333,0.05125,0.15375,0.2733333333333333,0.3459375,0.17572916666666671,0.19708333333333328,0.17572916666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.052125,0.156375,0.62984375,0.156375,0.17375000000000002,0.48650000000000004,0.052125,0.156375,0.278,0.35184375,0.16165624999999995,0.18337499999999995,0.16165624999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.053,0.159,0.6404166666666666,0.159,0.17666666666666667,0.4946666666666667,0.053,0.159,0.2826666666666667,0.35775,0.1475833333333334,0.16966666666666663,0.1475833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.053875,0.161625,0.6509895833333333,0.161625,0.17958333333333334,0.5028333333333334,0.053875,0.161625,0.28733333333333333,0.36365625,0.13351041666666663,0.1559583333333333,0.13351041666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.05475,0.16424999999999998,0.6615624999999999,0.16424999999999998,0.1825,0.511,0.05475,0.16424999999999998,0.292,0.3695625,0.11943750000000009,0.14225,0.11943750000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.055625,0.166875,0.6721354166666667,0.166875,0.18541666666666667,0.5191666666666668,0.055625,0.166875,0.2966666666666667,0.37546875,0.10536458333333332,0.12854166666666655,0.10536458333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0565,0.1695,0.6827083333333334,0.1695,0.18833333333333335,0.5273333333333334,0.0565,0.1695,0.3013333333333334,0.3813750000000001,0.09129166666666666,0.11483333333333323,0.09129166666666655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.057374999999999995,0.17212499999999997,0.69328125,0.17212499999999997,0.19125,0.5355,0.057374999999999995,0.17212499999999997,0.306,0.38728125,0.07721875000000011,0.10112500000000002,0.07721875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.05824999999999999,0.17474999999999996,0.7038541666666666,0.17474999999999996,0.19416666666666665,0.5436666666666666,0.05824999999999999,0.17474999999999996,0.31066666666666665,0.39318749999999997,0.06314583333333346,0.0874166666666667,0.06314583333333346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.059125,0.17737499999999998,0.7144270833333333,0.17737499999999998,0.19708333333333333,0.5518333333333334,0.059125,0.17737499999999998,0.3153333333333333,0.39909375,0.0490729166666668,0.07370833333333326,0.04907291666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,0.06,0.18,0.725,0.18,0.2,0.56,0.06,0.18,0.32,0.405,0.03500000000000003,0.05999999999999994,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
