year,pop_lvst_initial_buffalo,pop_lvst_initial_cattle_dairy,pop_lvst_initial_cattle_nondairy,pop_lvst_initial_chickens,pop_lvst_initial_goats,pop_lvst_initial_horses,pop_lvst_initial_mules,pop_lvst_initial_pigs,pop_lvst_initial_sheep
2066,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2067,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2068,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2069,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2070,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2071,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2072,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2073,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2074,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2075,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2076,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2077,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2078,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2079,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2080,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2081,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2082,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2083,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2084,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2085,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2086,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2087,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2088,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2089,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2090,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2091,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2092,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2093,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2094,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2095,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2096,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2097,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2098,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2099,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2100,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
