year,frac_lndu_initial_croplands,frac_lndu_initial_flooded,frac_lndu_initial_forests_mangroves,frac_lndu_initial_forests_primary,frac_lndu_initial_forests_secondary,frac_lndu_initial_grasslands,frac_lndu_initial_other,frac_lndu_initial_pastures,frac_lndu_initial_settlements,frac_lndu_initial_shrublands,frac_lndu_initial_wetlands
2029,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2030,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2031,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2032,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2033,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2034,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2035,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2036,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2037,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2038,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2039,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2040,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2041,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2042,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2043,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2044,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2045,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2046,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2047,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2048,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2049,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2050,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
