area_lndu_infimum_croplands_ha,area_lndu_infimum_flooded_ha,area_lndu_infimum_forests_mangroves_ha,area_lndu_infimum_forests_primary_ha,area_lndu_infimum_forests_secondary_ha,area_lndu_infimum_grasslands_ha,area_lndu_infimum_other_ha,area_lndu_infimum_pastures_ha,area_lndu_infimum_settlements_ha,area_lndu_infimum_shrublands_ha,area_lndu_infimum_wetlands_ha,year
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2052
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2053
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2054
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2055
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2056
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2057
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2058
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2059
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2060
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2061
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2062
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2063
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2064
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2065
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2066
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2067
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2068
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2069
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2070
