year,frac_lvst_livestock_demand_imported_buffalo,frac_lvst_livestock_demand_imported_cattle_dairy,frac_lvst_livestock_demand_imported_cattle_nondairy,frac_lvst_livestock_demand_imported_chickens,frac_lvst_livestock_demand_imported_goats,frac_lvst_livestock_demand_imported_horses,frac_lvst_livestock_demand_imported_mules,frac_lvst_livestock_demand_imported_pigs,frac_lvst_livestock_demand_imported_sheep
2059,0.0,3.631405594694522e-06,1.0074021267194424e-06,0.00034789663377553053,3.878391132752682e-06,0.0,0.0,1.2760322406475737e-05,1.993207406739391e-06
2060,0.0,3.7095449726998926e-06,1.0290568749464692e-06,0.00035560538462597337,3.961903276109446e-06,0.0,0.0,1.3034865029193276e-05,2.0361075197068085e-06
2061,0.0,3.7877022130399148e-06,1.0507117157961836e-06,0.0003633261568756719,4.045423054977635e-06,0.0,0.0,1.3309421577732741e-05,2.079010593724377e-06
2062,0.0,3.865877531824499e-06,1.0723666503729724e-06,0.00037105911790579686,4.128950560507686e-06,0.0,0.0,1.3583992219083561e-05,2.121916664034608e-06
2063,0.0,3.944071147605606e-06,1.0940216797931432e-06,0.00037880443749412226,4.21248588485115e-06,0.0,0.0,1.3858577122053502e-05,2.1648257662652425e-06
2064,0.0,4.0222832814046635e-06,1.1156768051850231e-06,0.00038656228785388625,4.296029121171205e-06,0.0,0.0,1.413317645728731e-05,2.2077379364332544e-06
2065,0.0,4.100514156740196e-06,1.137332027689087e-06,0.0003943328436734092,4.379580363653423e-06,0.0,0.0,1.4407790397285963e-05,2.2506532109489503e-06
2066,0.0,4.178763999655803e-06,1.1589873484580884e-06,0.00040211628215647114,4.463139707516639e-06,0.0,0.0,1.4682419116426116e-05,2.2935716266201176e-06
2067,0.0,4.257033038748524e-06,1.1806427686571592e-06,0.0004099127830634595,4.546707249023816e-06,0.0,0.0,1.4957062790979326e-05,2.3364932206561523e-06
2068,0.0,4.3353215051973775e-06,1.2022982894639752e-06,0.00041772252875333195,4.63028308549327e-06,0.0,0.0,1.52317215991323e-05,2.3794180306723536e-06
2069,0.0,4.4136296327924115e-06,1.223953912068857e-06,0.0004255457042263735,4.7138673153097684e-06,0.0,0.0,1.5506395721006548e-05,2.422346094694139e-06
2070,0.0,4.4919576579639866e-06,1.2456096376749064e-06,0.00043338249716779755,4.797460037935867e-06,0.0,0.0,1.578108533867863e-05,2.4652774511613674e-06
2071,0.0,4.570305819812432e-06,1.2672654674981438e-06,0.00044123309799219836,4.8810613539233824e-06,0.0,0.0,1.605579063620059e-05,2.508212138932704e-06
2072,0.0,4.6486743601381166e-06,1.2889214027676138e-06,0.0004490976998888645,4.964671364924838e-06,0.0,0.0,1.6330511799620263e-05,2.5511501972899723e-06
2073,0.0,4.727063523471703e-06,1.3105774447255563e-06,0.00045697649886800636,5.048290173705303e-06,0.0,0.0,1.6605249017002542e-05,2.5940916659426723e-06
2074,0.0,4.805473557104939e-06,1.332233594627515e-06,0.0004648696938078732,5.1319178841540906e-06,0.0,0.0,1.6880002478450023e-05,2.6370365850324256e-06
2075,0.0,4.883904711121718e-06,1.3538898537424799e-06,0.00047277748650281716,5.2155546012967195e-06,0.0,0.0,1.71547723761244e-05,2.6799849951375277e-06
2076,0.0,4.96235723842951e-06,1.3755462233530313e-06,0.00048070008171230926,5.299200431306997e-06,0.0,0.0,1.7429558904267938e-05,2.7229369372775425e-06
2077,0.0,5.0408313947912595e-06,1.3972027047554511e-06,0.0004886376872109264,5.382855481519107e-06,0.0,0.0,1.7704362259224834e-05,2.7658924529178934e-06
2078,0.0,5.1193274388574625e-06,1.4188592992599027e-06,0.0004965905138393572,5.466519860440073e-06,0.0,0.0,1.7979182639463583e-05,2.808851583974618e-06
2079,0.0,5.197845632198822e-06,1.4405160081905441e-06,0.0005045587755564138,5.550193677762111e-06,0.0,0.0,1.8254020245598802e-05,2.851814372819053e-06
2080,0.0,5.276386239339201e-06,1.4621728328856793e-06,0.0005125426894921002,5.6338770443752344e-06,0.0,0.0,1.8528875280413625e-05,2.8947808622826257e-06
2081,0.0,5.354949527788947e-06,1.4838297746979063e-06,0.000520542476001757,5.717570072379995e-06,0.0,0.0,1.8803747948882397e-05,2.937751095661702e-06
2082,0.0,5.433535768078734e-06,1.5054868349942387e-06,0.0005285583587212922,5.801272875100239e-06,0.0,0.0,1.9078638458193136e-05,2.980725116722417e-06
2083,0.0,5.5121452337935955e-06,1.52714401515629e-06,0.0005365905646235601,5.8849855670962435e-06,0.0,0.0,1.935354701777105e-05,3.0237029697056856e-06
2084,0.0,5.590778201607569e-06,1.5488013165803955e-06,0.0005446393240758714,5.968708264177742e-06,0.0,0.0,1.962847383930155e-05,3.0666846993321367e-06
2085,0.0,5.6694349513186484e-06,1.5704587406777692e-06,0.0005527048708986933,6.0524410834172306e-06,0.0,0.0,1.9903419136753807e-05,3.1096703508071668e-06
2086,0.0,5.7481157658841605e-06,1.5921162888746612e-06,0.0005607874424255585,6.1361841431633854e-06,0.0,0.0,2.0178383126404604e-05,3.1526599698260395e-06
2087,0.0,5.826820931456658e-06,1.6137739626124848e-06,0.0005688872795642022,6.219937563054542e-06,0.0,0.0,2.045336602686205e-05,3.1956536025789836e-06
