frac_trns_pkm_dem_private_and_public_human_powered,frac_trns_pkm_dem_private_and_public_powered_bikes,frac_trns_pkm_dem_private_and_public_public,frac_trns_pkm_dem_private_and_public_road_light,frac_trns_pkm_dem_private_and_public_water_borne,year
0.358000661918322,0.08037240222463385,0.382208636378697,0.15608496614501377,0.023333333333333334,2034
0.3450006205484269,0.07847412708559423,0.38957059660502846,0.16195465576095042,0.025,2035
0.33200057917853176,0.07657585194655463,0.39693255683135986,0.16782434537688706,0.02666666666666667,2036
0.31900053780863663,0.07467757680751501,0.4042945170576913,0.1736940349928237,0.028333333333333335,2037
0.3060004964387415,0.07277930166847539,0.41165647728402277,0.17956372460876036,0.030000000000000002,2038
0.2930004550688464,0.07088102652943579,0.41901843751035417,0.18543341422469697,0.03166666666666667,2039
0.28000041369895123,0.06898275139039617,0.4263803977366856,0.19130310384063362,0.03333333333333333,2040
0.26700037232905616,0.06708447625135655,0.4337423579630171,0.19717279345657024,0.035,2041
0.254000330959161,0.06518620111231693,0.4411043181893485,0.20304248307250689,0.03666666666666667,2042
0.2410002895892659,0.06328792597327731,0.44846627841567993,0.20891217268844353,0.03833333333333334,2043
0.22800024821937076,0.0613896508342377,0.4558282386420114,0.21478186230438018,0.04,2044
0.21500020684947563,0.059491375695198086,0.4631901988683428,0.22065155192031682,0.04166666666666667,2045
0.2020001654795805,0.05759310055615847,0.4705521590946743,0.22652124153625347,0.043333333333333335,2046
0.18900012410968536,0.05569482541711885,0.4779141193210057,0.23239093115219006,0.045000000000000005,2047
0.1760000827397903,0.05379655027807924,0.4852760795473371,0.2382606207681267,0.04666666666666667,2048
0.16300004136989515,0.05189827513903962,0.4926380397736686,0.24413031038406335,0.04833333333333334,2049
0.15,0.05,0.5,0.25,0.05,2050
0.15,0.05,0.5,0.25,0.05,2051
0.15,0.05,0.5,0.25,0.05,2052
0.15,0.05,0.5,0.25,0.05,2053
0.15,0.05,0.5,0.25,0.05,2054
0.15,0.05,0.5,0.25,0.05,2055
0.15,0.05,0.5,0.25,0.05,2056
0.15,0.05,0.5,0.25,0.05,2057
0.15,0.05,0.5,0.25,0.05,2058
0.15,0.05,0.5,0.25,0.05,2059
0.15,0.05,0.5,0.25,0.05,2060
0.15,0.05,0.5,0.25,0.05,2061
0.15,0.05,0.5,0.25,0.05,2062
0.15,0.05,0.5,0.25,0.05,2063
0.15,0.05,0.5,0.25,0.05,2064
0.15,0.05,0.5,0.25,0.05,2065
0.15,0.05,0.5,0.25,0.05,2066
0.15,0.05,0.5,0.25,0.05,2067
0.15,0.05,0.5,0.25,0.05,2068
0.15,0.05,0.5,0.25,0.05,2069
0.15,0.05,0.5,0.25,0.05,2070
0.15,0.05,0.5,0.25,0.05,2071
0.15,0.05,0.5,0.25,0.05,2072
0.15,0.05,0.5,0.25,0.05,2073
0.15,0.05,0.5,0.25,0.05,2074
0.15,0.05,0.5,0.25,0.05,2075
0.15,0.05,0.5,0.25,0.05,2076
0.15,0.05,0.5,0.25,0.05,2077
0.15,0.05,0.5,0.25,0.05,2078
0.15,0.05,0.5,0.25,0.05,2079
0.15,0.05,0.5,0.25,0.05,2080
0.15,0.05,0.5,0.25,0.05,2081
0.15,0.05,0.5,0.25,0.05,2082
0.15,0.05,0.5,0.25,0.05,2083
0.15,0.05,0.5,0.25,0.05,2084
0.15,0.05,0.5,0.25,0.05,2085
0.15,0.05,0.5,0.25,0.05,2086
0.15,0.05,0.5,0.25,0.05,2087
0.15,0.05,0.5,0.25,0.05,2088
0.15,0.05,0.5,0.25,0.05,2089
0.15,0.05,0.5,0.25,0.05,2090
0.15,0.05,0.5,0.25,0.05,2091
0.15,0.05,0.5,0.25,0.05,2092
0.15,0.05,0.5,0.25,0.05,2093
0.15,0.05,0.5,0.25,0.05,2094
0.15,0.05,0.5,0.25,0.05,2095
0.15,0.05,0.5,0.25,0.05,2096
0.15,0.05,0.5,0.25,0.05,2097
0.15,0.05,0.5,0.25,0.05,2098
0.15,0.05,0.5,0.25,0.05,2099
0.15,0.05,0.5,0.25,0.05,2100
