year,cost_enfu_fuel_biofuels_usd_per_m3,cost_enfu_fuel_crude_usd_per_m3,cost_enfu_fuel_diesel_usd_per_m3,cost_enfu_fuel_furnace_gas_usd_per_m3,cost_enfu_fuel_gasoline_usd_per_m3,cost_enfu_fuel_kerosene_usd_per_m3,cost_enfu_fuel_oil_usd_per_m3
2063,515.2982289065001,376.8267741523769,1385.5555745050851,13573.081244630639,1417.778429013449,986.0302156977577,535.912447518171
2064,515.1643852106802,376.7288970681815,1385.1956899402787,13569.555768982682,1417.4101748760431,985.7741039534208,535.7732494798546
2065,515.0305762794567,376.6310454066053,1384.8358988519824,13566.031209042687,1417.0420163890622,985.5180587316146,535.6340875968729
2066,514.8968021037996,376.53321916104517,1384.476201215917,13562.507564572805,1416.6739535276624,985.2620800150609,535.4949618598347
2067,514.7630626746817,376.4354183248994,1384.1165970078089,13558.984835335254,1416.305986267006,985.0061677864855,535.3558722593516
2068,514.629357983078,376.33764289156824,1383.7570862033913,13555.46302109231,1415.938114582261,984.7503220286188,535.2168187860375
2069,514.4956880199654,376.23989285445356,1383.3976687784032,13551.94212160631,1415.5703384486033,984.4945427241959,535.0778014305085
2070,514.3620527763238,376.14216820695884,1383.0383447085906,13548.422136639658,1415.202657841214,984.2388298559557,534.9388201833838
2071,514.2284522431352,376.0444689424895,1382.6791139697052,13544.903065954817,1414.835072735281,983.9831834066424,534.7998750352841
2072,514.0948864113836,375.9467950544525,1382.3199765375052,13541.384909314307,1414.467583105999,983.7276033590042,534.6609659768334
2073,513.961355272056,375.8491465362565,1381.960932387755,13537.867666480719,1414.1001889285687,983.472089695794,534.5220929986576
2074,513.8278588161412,375.751523381312,1381.6019814962256,13534.351337216698,1413.7328901781977,983.2166423997691,534.3832560913852
2075,513.6943970346305,375.65392558303114,1381.243123838694,13530.835921284954,1413.3656868300993,982.9612614536911,534.2444552456471
2076,513.5609699185176,375.55635313482776,1380.8843593909437,13527.321418448255,1412.998578859494,982.7059468403264,534.1056904520768
2077,513.4275774587984,375.4588060301174,1380.5256881287642,13523.807828469437,1412.6315662416084,982.4506985424458,533.96696170131
2078,513.2942196464714,375.3612842623173,1380.1671100279514,13520.295151111393,1412.2646489516753,982.1955165428243,533.828268983985
2079,513.1608964725373,375.2637878248466,1379.8086250643078,13516.783386137078,1411.8978269649347,981.9404008242418,533.6896122907424
2080,513.0276079279989,375.16631671112583,1379.4502332136417,13513.27253330951,1411.531100256632,981.6853513694822,533.5509916122253
2081,512.8943540038618,375.06887091457753,1379.0919344517679,13509.762592391766,1411.1644688020199,981.4303681613343,533.4124069390792
2082,512.7611346911335,374.97145042862564,1378.7337287545076,13506.25356314699,1410.797932576357,981.175451182591,533.2738582619522
2083,512.6279499808242,374.8740552466961,1378.3756160976882,13502.745445338378,1410.4314915549085,980.9206004160501,533.1353455714946
2084,512.494799863946,374.7766853622165,1378.0175964571433,13499.2382387292,1410.0651457129463,980.6658158445134,532.9968688583591
2085,512.3616843315137,374.6793407686159,1377.6596698087128,13495.731943082776,1409.698895025748,980.4110974507875,532.8584281132011
2086,512.2286033745446,374.58202145932535,1377.301836128243,13492.226558162494,1409.3327394685982,980.1564452176833,532.7200233266782
2087,512.0955569840577,374.48472742777744,1376.9440953915862,13488.722083731802,1408.9666790167882,979.9018591280164,532.5816544894504
2088,511.9625451510747,374.3874586674066,1376.5864475746014,13485.21851955421,1408.600713645615,979.6473391646066,532.4433215921804
2089,511.8295678666199,374.2902151716488,1376.2288926531535,13481.715865393286,1408.2348433303823,979.392885310278,532.3050246255331
2090,511.6966251217194,374.19299693394186,1375.8714306031136,13478.214121012663,1407.8690680464003,979.1384975478596,532.1667635801757
2091,511.56371690740207,374.0958039477252,1375.5140614003594,13474.713286176036,1407.5033877689855,978.8841758601848,532.0285384467783
2092,511.4308432146988,373.99863620644004,1375.1567850207748,13471.213360647158,1407.137802473461,978.6299202300912,531.8903492160129
2093,511.29800403464304,373.9014937035293,1374.7996014402497,13467.714344189846,1406.7723121351562,978.3757306404209,531.7521958785541
2094,511.16519935827034,373.80437643243744,1374.4425106346807,13464.216236567978,1406.4069167294067,978.1216070740207,531.6140784250791
2095,511.03242917661885,373.7072843866108,1374.0855125799703,13460.719037545494,1406.0416162315546,977.8675495137417,531.4759968462674
2096,510.8996934807288,373.61021755949736,1373.7286072520274,13457.22274688639,1405.6764106169492,977.6135579424395,531.3379511328008
2097,510.7669922616429,373.51317594454684,1373.3717946267673,13453.72736435473,1405.3112998609447,977.3596323429739,531.1999412753637
2098,510.6343255104061,373.4161595352106,1373.015074680111,13450.232889714638,1404.946283938903,977.1057726982094,531.0619672646428
2099,510.5016932180657,373.3191683249417,1372.6584473879861,13446.739322730296,1404.5813628261915,976.851978991015,530.9240290913273
2100,510.36909537567135,373.22220230719495,1372.301912726327,13443.24666316595,1404.2165364981845,976.5982512042641,530.7861267461087
