year,vec_ramp,nemomod_entc_frac_min_share_production_fp_hydrogen_electrolysis,nemomod_entc_frac_min_share_production_fp_hydrogen_gasification,nemomod_entc_frac_min_share_production_fp_hydrogen_reformation,nemomod_entc_frac_min_share_production_fp_hydrogen_reformation_ccs,nemomod_entc_frac_min_share_production_pp_biogas,nemomod_entc_frac_min_share_production_pp_biomass,nemomod_entc_frac_min_share_production_pp_coal,nemomod_entc_frac_min_share_production_pp_coal_ccs,nemomod_entc_frac_min_share_production_pp_gas,nemomod_entc_frac_min_share_production_pp_gas_ccs,nemomod_entc_frac_min_share_production_pp_geothermal,nemomod_entc_frac_min_share_production_pp_hydropower,nemomod_entc_frac_min_share_production_pp_nuclear,nemomod_entc_frac_min_share_production_pp_ocean,nemomod_entc_frac_min_share_production_pp_oil,nemomod_entc_frac_min_share_production_pp_solar,nemomod_entc_frac_min_share_production_pp_waste_incineration,nemomod_entc_frac_min_share_production_pp_wind,nemomod_entc_residual_capacity_pp_biogas_gw,nemomod_entc_residual_capacity_pp_coal_gw,nemomod_entc_residual_capacity_pp_coal_ccs_gw,nemomod_entc_residual_capacity_pp_gas_gw,nemomod_entc_residual_capacity_pp_gas_ccs_gw,nemomod_entc_residual_capacity_pp_ocean_gw,nemomod_entc_residual_capacity_pp_waste_incineration_gw
2043,1.0,0.0,0.0,0.0,0.0,0.0,0.0517939787309886,0.0,0.0,0.0,0.0,0.13621598740494295,0.20048753861692015,0.1244140625,0.0,0.0019961977186311788,0.39103976057509504,0.0,0.06911463284220531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,1.0,0.0,0.0,0.0,0.0,0.0,0.05000504990494297,0.0,0.0,0.0,0.0,0.14186816777566538,0.18607637238593155,0.13398437500000002,0.0,0.0017110266159695818,0.3907014912072243,0.0,0.06872772100760456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,1.0,0.0,0.0,0.0,0.0,0.0,0.04820616979562738,0.0,0.0,0.0,0.0,0.14752034814638781,0.17166520615494296,0.1435546875,0.0,0.0014258555133079848,0.3903632218393536,0.0,0.06834080917300381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,1.0,0.0,0.0,0.0,0.0,0.0,0.04639733840304182,0.0,0.0,0.0,0.0,0.15317252851711027,0.15725403992395437,0.153125,0.0,0.0011406844106463879,0.3900249524714829,0.0,0.06795389733840304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,1.0,0.0,0.0,0.0,0.0,0.0,0.0445785557271863,0.0,0.0,0.0,0.0,0.1588247088878327,0.14284287369296578,0.16269531250000002,0.0,0.0008555133079847909,0.38968668310361215,0.0,0.06756698550380227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,1.0,0.0,0.0,0.0,0.0,0.0,0.04274982176806084,0.0,0.0,0.0,0.0,0.16447688925855514,0.12843170746197718,0.172265625,0.0,0.0005703422053231939,0.38934841373574147,0.0,0.06718007366920152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,1.0,0.0,0.0,0.0,0.0,0.0,0.0409111365256654,0.0,0.0,0.0,0.0,0.17012906962927757,0.11402054123098859,0.18183593750000002,0.0,0.00028517110266159697,0.38901014436787074,0.0,0.06679316183460077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,1.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.0,0.0,0.0,0.0,0.17578125,0.099609375,0.19140625,0.0,0.0,0.388671875,0.0,0.06640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,0.98,0.0,0.0,0.0,0.0,0.0,0.03828125,0.0,0.0,0.0,0.0,0.172265625,0.0976171875,0.18757812499999998,0.0,0.0,0.3808984375,0.0,0.065078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,0.96,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.16874999999999998,0.095625,0.18375,0.0,0.0,0.373125,0.0,0.06375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,0.94,0.0,0.0,0.0,0.0,0.0,0.036718749999999994,0.0,0.0,0.0,0.0,0.165234375,0.0936328125,0.17992187499999998,0.0,0.0,0.3653515625,0.0,0.062421874999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,0.92,0.0,0.0,0.0,0.0,0.0,0.035937500000000004,0.0,0.0,0.0,0.0,0.16171875,0.091640625,0.17609375000000002,0.0,0.0,0.357578125,0.0,0.06109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,0.9,0.0,0.0,0.0,0.0,0.0,0.03515625,0.0,0.0,0.0,0.0,0.158203125,0.0896484375,0.172265625,0.0,0.0,0.3498046875,0.0,0.059765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,0.88,0.0,0.0,0.0,0.0,0.0,0.034375,0.0,0.0,0.0,0.0,0.1546875,0.08765625,0.1684375,0.0,0.0,0.34203125,0.0,0.0584375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,0.86,0.0,0.0,0.0,0.0,0.0,0.03359375,0.0,0.0,0.0,0.0,0.151171875,0.0856640625,0.164609375,0.0,0.0,0.3342578125,0.0,0.057109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,0.84,0.0,0.0,0.0,0.0,0.0,0.0328125,0.0,0.0,0.0,0.0,0.14765625,0.08367187499999999,0.16078125,0.0,0.0,0.326484375,0.0,0.05578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.032031250000000004,0.0,0.0,0.0,0.0,0.14414062500000002,0.0816796875,0.156953125,0.0,0.0,0.3187109375,0.0,0.054453125000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,0.8,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.140625,0.07968750000000001,0.153125,0.0,0.0,0.31093750000000003,0.0,0.053125000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,0.78,0.0,0.0,0.0,0.0,0.0,0.030468750000000003,0.0,0.0,0.0,0.0,0.137109375,0.0776953125,0.149296875,0.0,0.0,0.3031640625,0.0,0.051796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,0.76,0.0,0.0,0.0,0.0,0.0,0.0296875,0.0,0.0,0.0,0.0,0.13359375,0.075703125,0.14546875,0.0,0.0,0.295390625,0.0,0.05046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,0.74,0.0,0.0,0.0,0.0,0.0,0.02890625,0.0,0.0,0.0,0.0,0.130078125,0.0737109375,0.141640625,0.0,0.0,0.2876171875,0.0,0.049140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,0.72,0.0,0.0,0.0,0.0,0.0,0.028124999999999997,0.0,0.0,0.0,0.0,0.1265625,0.07171875,0.1378125,0.0,0.0,0.27984375,0.0,0.0478125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,0.7,0.0,0.0,0.0,0.0,0.0,0.02734375,0.0,0.0,0.0,0.0,0.12304687499999999,0.06972656249999999,0.133984375,0.0,0.0,0.27207031249999997,0.0,0.046484374999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.026562499999999996,0.0,0.0,0.0,0.0,0.11953124999999999,0.067734375,0.13015625,0.0,0.0,0.264296875,0.0,0.045156249999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,0.6599999999999999,0.0,0.0,0.0,0.0,0.0,0.02578125,0.0,0.0,0.0,0.0,0.11601562499999998,0.0657421875,0.12632812499999999,0.0,0.0,0.25652343749999995,0.0,0.043828124999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,0.64,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.1125,0.06375,0.1225,0.0,0.0,0.24875,0.0,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,0.62,0.0,0.0,0.0,0.0,0.0,0.02421875,0.0,0.0,0.0,0.0,0.108984375,0.0617578125,0.118671875,0.0,0.0,0.2409765625,0.0,0.041171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070,0.6,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.0,0.10546875,0.059765624999999996,0.11484375,0.0,0.0,0.23320312499999998,0.0,0.03984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071,0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.022656250000000003,0.0,0.0,0.0,0.0,0.101953125,0.05777343750000001,0.111015625,0.0,0.0,0.22542968750000003,0.0,0.038515625000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,0.56,0.0,0.0,0.0,0.0,0.0,0.021875000000000002,0.0,0.0,0.0,0.0,0.09843750000000001,0.055781250000000004,0.1071875,0.0,0.0,0.21765625000000002,0.0,0.037187500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,0.54,0.0,0.0,0.0,0.0,0.0,0.02109375,0.0,0.0,0.0,0.0,0.094921875,0.053789062500000005,0.103359375,0.0,0.0,0.20988281250000002,0.0,0.035859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,0.52,0.0,0.0,0.0,0.0,0.0,0.0203125,0.0,0.0,0.0,0.0,0.09140625000000001,0.051796875,0.09953125,0.0,0.0,0.202109375,0.0,0.03453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,0.5,0.0,0.0,0.0,0.0,0.0,0.01953125,0.0,0.0,0.0,0.0,0.087890625,0.0498046875,0.095703125,0.0,0.0,0.1943359375,0.0,0.033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,0.48,0.0,0.0,0.0,0.0,0.0,0.01875,0.0,0.0,0.0,0.0,0.08437499999999999,0.0478125,0.091875,0.0,0.0,0.1865625,0.0,0.031875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077,0.45999999999999996,0.0,0.0,0.0,0.0,0.0,0.01796875,0.0,0.0,0.0,0.0,0.080859375,0.045820312499999995,0.088046875,0.0,0.0,0.17878906249999998,0.0,0.030546874999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,0.43999999999999995,0.0,0.0,0.0,0.0,0.0,0.017187499999999998,0.0,0.0,0.0,0.0,0.07734374999999999,0.043828124999999996,0.08421875,0.0,0.0,0.17101562499999998,0.0,0.029218749999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,0.42000000000000004,0.0,0.0,0.0,0.0,0.0,0.01640625,0.0,0.0,0.0,0.0,0.07382812500000001,0.0418359375,0.08039062500000001,0.0,0.0,0.16324218750000002,0.0,0.027890625000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,0.4,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0703125,0.039843750000000004,0.0765625,0.0,0.0,0.15546875000000002,0.0,0.026562500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,0.38,0.0,0.0,0.0,0.0,0.0,0.01484375,0.0,0.0,0.0,0.0,0.066796875,0.0378515625,0.072734375,0.0,0.0,0.1476953125,0.0,0.025234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,0.36,0.0,0.0,0.0,0.0,0.0,0.014062499999999999,0.0,0.0,0.0,0.0,0.06328125,0.035859375,0.06890625,0.0,0.0,0.139921875,0.0,0.02390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2083,0.33999999999999997,0.0,0.0,0.0,0.0,0.0,0.013281249999999998,0.0,0.0,0.0,0.0,0.059765624999999996,0.0338671875,0.065078125,0.0,0.0,0.1321484375,0.0,0.022578124999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.012499999999999997,0.0,0.0,0.0,0.0,0.056249999999999994,0.031874999999999994,0.06124999999999999,0.0,0.0,0.12437499999999999,0.0,0.021249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.011718750000000002,0.0,0.0,0.0,0.0,0.05273437500000001,0.029882812500000005,0.05742187500000001,0.0,0.0,0.11660156250000002,0.0,0.019921875000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2086,0.28,0.0,0.0,0.0,0.0,0.0,0.010937500000000001,0.0,0.0,0.0,0.0,0.049218750000000006,0.027890625000000002,0.05359375,0.0,0.0,0.10882812500000001,0.0,0.018593750000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2087,0.26,0.0,0.0,0.0,0.0,0.0,0.01015625,0.0,0.0,0.0,0.0,0.045703125000000004,0.0258984375,0.049765625,0.0,0.0,0.1010546875,0.0,0.017265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,0.24,0.0,0.0,0.0,0.0,0.0,0.009375,0.0,0.0,0.0,0.0,0.042187499999999996,0.02390625,0.0459375,0.0,0.0,0.09328125,0.0,0.0159375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2089,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.008593749999999999,0.0,0.0,0.0,0.0,0.038671874999999994,0.021914062499999998,0.042109375,0.0,0.0,0.08550781249999999,0.0,0.014609374999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.007812499999999998,0.0,0.0,0.0,0.0,0.03515624999999999,0.019921874999999995,0.03828124999999999,0.0,0.0,0.07773437499999998,0.0,0.013281249999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,0.18000000000000005,0.0,0.0,0.0,0.0,0.0,0.007031250000000002,0.0,0.0,0.0,0.0,0.031640625000000006,0.017929687500000006,0.03445312500000001,0.0,0.0,0.06996093750000001,0.0,0.011953125000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.006250000000000001,0.0,0.0,0.0,0.0,0.028125000000000004,0.015937500000000004,0.030625000000000006,0.0,0.0,0.062187500000000014,0.0,0.010625000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093,0.14,0.0,0.0,0.0,0.0,0.0,0.0054687500000000005,0.0,0.0,0.0,0.0,0.024609375000000003,0.013945312500000001,0.026796875,0.0,0.0,0.054414062500000006,0.0,0.009296875000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,0.12,0.0,0.0,0.0,0.0,0.0,0.0046875,0.0,0.0,0.0,0.0,0.021093749999999998,0.011953125,0.02296875,0.0,0.0,0.046640625,0.0,0.00796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.003906249999999999,0.0,0.0,0.0,0.0,0.017578124999999997,0.009960937499999998,0.019140624999999994,0.0,0.0,0.03886718749999999,0.0,0.006640624999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0031249999999999984,0.0,0.0,0.0,0.0,0.014062499999999993,0.007968749999999997,0.015312499999999993,0.0,0.0,0.031093749999999986,0.0,0.005312499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,0.06000000000000005,0.0,0.0,0.0,0.0,0.0,0.002343750000000002,0.0,0.0,0.0,0.0,0.01054687500000001,0.005976562500000005,0.01148437500000001,0.0,0.0,0.02332031250000002,0.0,0.0039843750000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0015625000000000014,0.0,0.0,0.0,0.0,0.007031250000000006,0.0039843750000000035,0.007656250000000007,0.0,0.0,0.015546875000000014,0.0,0.0026562500000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0007812500000000007,0.0,0.0,0.0,0.0,0.003515625000000003,0.0019921875000000018,0.0038281250000000034,0.0,0.0,0.007773437500000007,0.0,0.0013281250000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
