year,cost_enfu_fuel_ammonia_usd_per_tonne,cost_enfu_fuel_biomass_usd_per_tonne,cost_enfu_fuel_coal_usd_per_tonne,cost_enfu_fuel_coke_usd_per_tonne,cost_enfu_fuel_nuclear_usd_per_tonne
2068,156.5927590702894,308.0689543584209,127.87955657086205,239.04305957304453,781397.1892419226
2069,151.8949762981807,311.14964390200515,127.87955657086205,240.23827487090972,765769.2454570842
2070,147.33812700923528,314.26114034102517,127.87955657086205,241.43946624526427,750453.8605479425
2071,142.9179831989582,317.4037517444354,127.87955657086205,242.64666357649057,735444.7833369835
2072,138.63044370298945,320.5777892618798,127.87955657086205,243.859896894373,720735.8876702439
2073,134.47153039189976,323.7835671544986,127.87955657086205,245.07919637884484,706321.169916839
2074,130.43738448014275,327.0214028260436,127.87955657086205,246.30459236073906,692194.7465185022
2075,126.52426294573846,330.29161685430404,127.87955657086205,247.53611532254274,678350.8515881322
2076,122.72853505736632,333.5945330228471,127.87955657086205,248.7737958991554,664783.8345563696
2077,119.04667900564532,336.93047835307556,127.87955657086205,250.01766487865115,651488.1578652421
2078,115.47527863547595,340.2997831366063,127.87955657086205,251.26775320304438,638458.3947079373
2079,112.01102027641166,343.7027809679724,127.87955657086205,252.52409196905958,625689.2268137785
2080,108.65068966811931,347.1398087776521,127.87955657086205,253.78671242890485,613175.442277503
2081,105.39116897807573,350.6112068654286,127.87955657086205,255.05564599104935,600911.9334319528
2082,102.22943390873345,354.11731893408285,127.87955657086205,256.3309242210046,588893.6947633139
2083,99.16255089147145,357.6584921234237,127.87955657086205,257.61257884210954,577115.8208680475
2084,96.18767436472731,361.23507704465794,127.87955657086205,258.9006417363201,565573.5044506866
2085,93.30204413378549,364.84742781510454,127.87955657086205,260.1951449450017,554262.0343616728
2086,90.50298280977192,368.49590209325555,127.87955657086205,261.4961206697266,543176.7936744394
2087,87.78789332547875,372.18086111418813,127.87955657086205,262.80360127307523,532313.2578009506
2088,85.15425652571439,375.90266972533,127.87955657086205,264.1176192794406,521666.99264493154
2089,82.59962882994296,379.6616964225833,127.87955657086205,265.43820737583775,511233.65279203287
2090,80.12163996504466,383.45831338680915,127.87955657086205,266.76539841271693,501008.97973619215
2091,77.71799076609332,387.29289652067723,127.87955657086205,268.09922540478044,490988.80014146835
2092,75.38645104311053,391.165825485884,127.87955657086205,269.43972153180437,481169.024138639
2093,73.12485751181721,395.0774837407429,127.87955657086205,270.78692013946335,471545.6436558662
2094,70.93111178646268,399.0282585781503,127.87955657086205,272.14085474016065,462114.7307827489
2095,68.8031784328688,403.0185411639318,127.87955657086205,273.5015590138614,452872.4361670939
2096,66.73908307988273,407.0487265755711,127.87955657086205,274.86906680893065,443814.98744375206
2097,64.73691058748625,411.1192138413268,127.87955657086205,276.24341214297533,434938.68769487704
2098,62.79480326986166,415.2304059797401,127.87955657086205,277.6246292036901,426239.91394097946
2099,60.91095917176582,419.3827100395375,127.87955657086205,279.01275234970853,417715.11566215986
2100,59.08363039661284,423.57653713993295,127.87955657086205,280.40781611145707,409360.81334891665
