"Subsector","Gas","Edgar_Sector","Edgar_Subsector","Edgar_Subsector_Synthetic","Vars","ignore","note","need_better_information_on_what_is_contained","Edgar_Class","ids","UGA"
"fgtv","co2","Energy","EN - Fugitive Emissions","EN - Fugitive Emissions","emission_co2e_co2_fgtv_fuel_coal:emission_co2e_co2_fgtv_fuel_natural_gas:emission_co2e_co2_fgtv_fuel_oil:emission_co2e_co2_entc_mining_and_extraction_me_coal:emission_co2e_co2_entc_mining_and_extraction_me_crude:emission_co2e_co2_entc_mining_and_extraction_me_natural_gas:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_ammonia_production:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas_liquefaction:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_petroleum_refinement",NA,"",NA,"EN - Fugitive Emissions:co2","17:fgtv:co2",0
"fgtv","n2o","Energy","EN - Fugitive Emissions","EN - Fugitive Emissions","emission_co2e_n2o_fgtv_fuel_coal:emission_co2e_n2o_fgtv_fuel_natural_gas:emission_co2e_n2o_fgtv_fuel_oil:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_coal:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_crude:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas_liquefaction:emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement",NA,"",NA,"EN - Fugitive Emissions:n2o","18:fgtv:n2o",0.09161379
"inen","ch4","Energy","EN - Manufacturing/Construction","EN - Manufacturing/Construction","emission_co2e_ch4_inen_agriculture_and_livestock:emission_co2e_ch4_inen_cement:emission_co2e_ch4_inen_chemicals:emission_co2e_ch4_inen_electronics:emission_co2e_ch4_inen_glass:emission_co2e_ch4_inen_lime_and_carbonite:emission_co2e_ch4_inen_metals:emission_co2e_ch4_inen_mining:emission_co2e_ch4_inen_other_product_manufacturing:emission_co2e_ch4_inen_paper:emission_co2e_ch4_inen_plastic:emission_co2e_ch4_inen_recycled_glass:emission_co2e_ch4_inen_recycled_metals:emission_co2e_ch4_inen_recycled_paper:emission_co2e_ch4_inen_recycled_plastic:emission_co2e_ch4_inen_recycled_rubber_and_leather:emission_co2e_ch4_inen_recycled_textiles:emission_co2e_ch4_inen_recycled_wood:emission_co2e_ch4_inen_rubber_and_leather:emission_co2e_ch4_inen_textiles",NA,"",NA,"EN - Manufacturing/Construction:ch4","19:inen:ch4",0.220814836
"inen","co2","Energy","EN - Manufacturing/Construction","EN - Manufacturing/Construction","emission_co2e_co2_inen_nbmass_agriculture_and_livestock:emission_co2e_co2_inen_nbmass_cement:emission_co2e_co2_inen_nbmass_chemicals:emission_co2e_co2_inen_nbmass_electronics:emission_co2e_co2_inen_nbmass_glass:emission_co2e_co2_inen_nbmass_lime_and_carbonite:emission_co2e_co2_inen_nbmass_metals:emission_co2e_co2_inen_nbmass_mining:emission_co2e_co2_inen_nbmass_other_product_manufacturing:emission_co2e_co2_inen_nbmass_paper:emission_co2e_co2_inen_nbmass_plastic:emission_co2e_co2_inen_nbmass_recycled_glass:emission_co2e_co2_inen_nbmass_recycled_metals:emission_co2e_co2_inen_nbmass_recycled_paper:emission_co2e_co2_inen_nbmass_recycled_plastic:emission_co2e_co2_inen_nbmass_recycled_rubber_and_leather:emission_co2e_co2_inen_nbmass_recycled_textiles:emission_co2e_co2_inen_nbmass_recycled_wood:emission_co2e_co2_inen_nbmass_rubber_and_leather:emission_co2e_co2_inen_nbmass_textiles:emission_co2e_co2_inen_nbmass_wood",NA,"",NA,"EN - Manufacturing/Construction:co2","20:inen:co2",1.15136811
"inen","n2o","Energy","EN - Manufacturing/Construction","EN - Manufacturing/Construction","emission_co2e_n2o_inen_agriculture_and_livestock:emission_co2e_n2o_inen_cement:emission_co2e_n2o_inen_chemicals:emission_co2e_n2o_inen_electronics:emission_co2e_n2o_inen_glass:emission_co2e_n2o_inen_lime_and_carbonite:emission_co2e_n2o_inen_metals:emission_co2e_n2o_inen_mining:emission_co2e_n2o_inen_other_product_manufacturing:emission_co2e_n2o_inen_paper:emission_co2e_n2o_inen_plastic:emission_co2e_n2o_inen_recycled_glass:emission_co2e_n2o_inen_recycled_metals:emission_co2e_n2o_inen_recycled_paper:emission_co2e_n2o_inen_recycled_plastic:emission_co2e_n2o_inen_recycled_rubber_and_leather:emission_co2e_n2o_inen_recycled_textiles:emission_co2e_n2o_inen_recycled_wood:emission_co2e_n2o_inen_rubber_and_leather:emission_co2e_n2o_inen_textiles",NA,"",NA,"EN - Manufacturing/Construction:n2o","21:inen:n2o",0.144468997
"scoe","ch4","Energy","EN - Other","EN - Other","emission_co2e_ch4_scoe_other_se",NA,"",NA,"EN - Other:ch4","22:scoe:ch4",0
"scoe","co2","Energy","EN - Other","EN - Other","emission_co2e_co2_scoe_nbmass_other_se",NA,"",NA,"EN - Other:co2","23:scoe:co2",0
"scoe","n2o","Energy","EN - Other","EN - Other","emission_co2e_n2o_scoe_other_se",NA,"",NA,"EN - Other:n2o","24:scoe:n2o",0
"trns","ch4","Energy","EN - Transportation","EN - Transportation","emission_co2e_ch4_trns_aviation:emission_co2e_ch4_trns_human_powered:emission_co2e_ch4_trns_powered_bikes:emission_co2e_ch4_trns_public:emission_co2e_ch4_trns_rail_freight:emission_co2e_ch4_trns_rail_passenger:emission_co2e_ch4_trns_road_heavy_freight:emission_co2e_ch4_trns_road_heavy_regional:emission_co2e_ch4_trns_road_light:emission_co2e_ch4_trns_water_borne",NA,"",NA,"EN - Transportation:ch4","25:trns:ch4",0.022559126
"trns","co2","Energy","EN - Transportation","EN - Transportation","emission_co2e_co2_trns_aviation:emission_co2e_co2_trns_human_powered:emission_co2e_co2_trns_powered_bikes:emission_co2e_co2_trns_public:emission_co2e_co2_trns_rail_freight:emission_co2e_co2_trns_rail_passenger:emission_co2e_co2_trns_road_heavy_freight:emission_co2e_co2_trns_road_heavy_regional:emission_co2e_co2_trns_road_light:emission_co2e_co2_trns_water_borne",NA,"",NA,"EN - Transportation:co2","26:trns:co2",3.39126129
"trns","n2o","Energy","EN - Transportation","EN - Transportation","emission_co2e_n2o_trns_aviation:emission_co2e_n2o_trns_human_powered:emission_co2e_n2o_trns_powered_bikes:emission_co2e_n2o_trns_public:emission_co2e_n2o_trns_rail_freight:emission_co2e_n2o_trns_rail_passenger:emission_co2e_n2o_trns_road_heavy_freight:emission_co2e_n2o_trns_road_heavy_regional:emission_co2e_n2o_trns_road_light:emission_co2e_n2o_trns_water_borne",NA,"",NA,"EN - Transportation:n2o","27:trns:n2o",0.047960074
"ippu","c2f6","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c2f6_ippu_product_use_product_use_ods_other:emission_co2e_c2f6_ippu_production_chemicals:emission_co2e_c2f6_ippu_production_electronics:emission_co2e_c2f6_ippu_production_metals",1,"",NA,"IN - Industrial Processes:HFC","28:ippu:c2f6",0
"ippu","c2h3f3","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c2h3f3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2h3f3_ippu_production_chemicals",1,"",NA,"IN - Industrial Processes:HFC","29:ippu:c2h3f3",0
"ippu","c2hf5","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c2hf5_ippu_product_use_product_use_ods_other:emission_co2e_c2hf5_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2hf5_ippu_production_chemicals",1,"",NA,"IN - Industrial Processes:HFC","30:ippu:c2hf5",0
"ippu","c3f8","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c3f8_ippu_production_chemicals:emission_co2e_c3f8_ippu_production_electronics",1,"",NA,"IN - Industrial Processes:HFC","31:ippu:c3f8",0
"ippu","c3h2f6","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c3h2f6_ippu_product_use_product_use_ods_other:emission_co2e_c3h2f6_ippu_product_use_product_use_ods_refrigeration",1,"",NA,"IN - Industrial Processes:HFC","32:ippu:c3h2f6",0
"ippu","c3h3f5","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c3h3f5_ippu_product_use_product_use_ods_other:emission_co2e_c3h3f5_ippu_product_use_product_use_ods_refrigeration",1,"",NA,"IN - Industrial Processes:HFC","33:ippu:c3h3f5",0
"ippu","c3hf7","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c3hf7_ippu_product_use_product_use_ods_other:emission_co2e_c3hf7_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c3hf7_ippu_production_chemicals",1,"",NA,"IN - Industrial Processes:HFC","34:ippu:c3hf7",0
"ippu","c4f10","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c4f10_ippu_product_use_product_use_ods_other:emission_co2e_c4f10_ippu_production_chemicals",1,"",NA,"IN - Industrial Processes:HFC","35:ippu:c4f10",0
"ippu","c4f6","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c4f6_ippu_production_electronics",1,"",NA,"IN - Industrial Processes:HFC","36:ippu:c4f6",0
"ippu","c4h5f5","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c4h5f5_ippu_product_use_product_use_ods_other:emission_co2e_c4h5f5_ippu_production_chemicals",1,"",NA,"IN - Industrial Processes:HFC","37:ippu:c4h5f5",0
"ippu","c5f12","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c5f12_ippu_production_chemicals",1,"",NA,"IN - Industrial Processes:HFC","38:ippu:c5f12",0
"ippu","c5f8","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c5f8_ippu_production_electronics",1,"",NA,"IN - Industrial Processes:HFC","39:ippu:c5f8",0
"ippu","c5h2f10","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c5h2f10_ippu_product_use_product_use_ods_other",1,"",NA,"IN - Industrial Processes:HFC","40:ippu:c5h2f10",0
"ippu","c6f14","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_c6f14_ippu_product_use_product_use_ods_other:emission_co2e_c6f14_ippu_production_chemicals",1,"",NA,"IN - Industrial Processes:HFC","41:ippu:c6f14",0
"ippu","cc4f8","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_cc4f8_ippu_production_chemicals:emission_co2e_cc4f8_ippu_production_electronics",1,"",NA,"IN - Industrial Processes:HFC","42:ippu:cc4f8",0
"ippu","cf4","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_cf4_ippu_product_use_product_use_ods_other:emission_co2e_cf4_ippu_production_chemicals:emission_co2e_cf4_ippu_production_electronics:emission_co2e_cf4_ippu_production_metals",1,"",NA,"IN - Industrial Processes:HFC","43:ippu:cf4",0
"ippu","ch2f2","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_ch2f2_ippu_product_use_product_use_ods_refrigeration:emission_co2e_ch2f2_ippu_production_chemicals:emission_co2e_ch2f2_ippu_production_electronics",1,"",NA,"IN - Industrial Processes:HFC","44:ippu:ch2f2",0
"ippu","ch2fchf2","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_ch2fchf2_ippu_product_use_product_use_ods_other",1,"",NA,"IN - Industrial Processes:HFC","45:ippu:ch2fchf2",0
"ippu","ch3cci2f","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_ch3cci2f_ippu_product_use_product_use_ods_other",1,"",NA,"IN - Industrial Processes:HFC","46:ippu:ch3cci2f",0
"ippu","ch3ccif2","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_ch3ccif2_ippu_product_use_product_use_ods_other",1,"",NA,"IN - Industrial Processes:HFC","47:ippu:ch3ccif2",0
"ippu","ch3chf2","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_ch3chf2_ippu_product_use_product_use_ods_other:emission_co2e_ch3chf2_ippu_product_use_product_use_ods_refrigeration:emission_co2e_ch3chf2_ippu_production_chemicals",1,"",NA,"IN - Industrial Processes:HFC","48:ippu:ch3chf2",0
"ippu","ch3f","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_ch3f_ippu_production_electronics",1,"",NA,"IN - Industrial Processes:HFC","49:ippu:ch3f",0
"ippu","ch4","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_ch4_ippu_production_chemicals:emission_co2e_ch4_ippu_production_metals:emission_co2e_ch4_ippu_production_paper:emission_co2e_ch4_ippu_production_plastic",NA,"",NA,"IN - Industrial Processes:ch4","50:ippu:ch4",0
"ippu","chf2cf3","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_chf2cf3_ippu_product_use_product_use_ods_other:emission_co2e_chf2cf3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_chf2cf3_ippu_production_chemicals",1,"",NA,"IN - Industrial Processes:HFC","51:ippu:chf2cf3",0
"ippu","chf2chf2","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_chf2chf2_ippu_product_use_product_use_ods_other",1,"",NA,"IN - Industrial Processes:HFC","52:ippu:chf2chf2",0
"ippu","chf3","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_chf3_ippu_product_use_product_use_ods_other:emission_co2e_chf3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_chf3_ippu_production_chemicals:emission_co2e_chf3_ippu_production_electronics",1,"",NA,"IN - Industrial Processes:HFC","53:ippu:chf3",0
"ippu","co2","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_co2_ippu_product_use_product_use_lubricants:emission_co2e_co2_ippu_product_use_product_use_other:emission_co2e_co2_ippu_product_use_product_use_paraffin_wax:emission_co2e_co2_ippu_production_cement:emission_co2e_co2_ippu_production_chemicals:emission_co2e_co2_ippu_production_glass:emission_co2e_co2_ippu_production_lime_and_carbonite:emission_co2e_co2_ippu_production_metals:emission_co2e_co2_ippu_production_paper:emission_co2e_co2_ippu_production_plastic:emission_co2e_co2_ippu_production_product_use_lubricants:emission_co2e_co2_ippu_production_product_use_paraffin_wax",NA,"",NA,"IN - Industrial Processes:co2","54:ippu:co2",1.651089311
"ippu","hfcs","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_hfcs_ippu_product_use_product_use_ods_other:emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration:emission_co2e_hfcs_ippu_production_chemicals:emission_co2e_hfcs_ippu_production_electronics:emission_co2e_hfcs_ippu_production_metals",NA,"NOTE: can pick this set (HFCs aggregate) or split the individual gasses. Seems to me just calibrating on this makes the most sense, I think we have HFCs, PFCs, and other fluorinated compounds each with their own trajectory groups",NA,"IN - Industrial Processes:HFC","55:ippu:hfcs",0
"ippu","n2o","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_n2o_ippu_production_chemicals:emission_co2e_n2o_ippu_production_other_product_manufacturing:emission_co2e_n2o_ippu_production_paper:emission_co2e_n2o_ippu_production_plastic",NA,"",NA,"IN - Industrial Processes:n2o","56:ippu:n2o",0.576759815
"ippu","other_fcs","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_other_fcs_ippu_product_use_product_use_ods_other:emission_co2e_other_fcs_ippu_production_chemicals:emission_co2e_other_fcs_ippu_production_electronics",NA,"NOTE: these aren't HFCs",NA,"IN - Industrial Processes:HFC","57:ippu:other_fcs",0
"ippu","pfcs","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_pfcs_ippu_product_use_product_use_ods_other:emission_co2e_pfcs_ippu_production_chemicals:emission_co2e_pfcs_ippu_production_electronics:emission_co2e_pfcs_ippu_production_other_product_manufacturing",NA,"",NA,"IN - Industrial Processes:pfcs","58:ippu:pfcs",0
"ippu","sf6","Industrial Processes","IN - Industrial Processes","IN - Industrial Processes","emission_co2e_sf6_ippu_production_chemicals:emission_co2e_sf6_ippu_production_electronics:emission_co2e_sf6_ippu_production_metals:emission_co2e_sf6_ippu_production_other_product_manufacturing",NA,"",NA,"IN - Industrial Processes:sf6","59:ippu:sf6",0
"lndu","ch4","Land Use, Land Use Change, and Forestry","LULUCF - Deforestation","LULUCF - Deforestation","emission_co2e_ch4_lndu_wetlands",NA,"we don't have any ch4 conversion emissions, we should ignore. I suspect these are associated with burning biomass to convert. ",1,"LULUCF - Deforestation:ch4","60:lndu:ch4",0
"lndu","co2","Land Use, Land Use Change, and Forestry","LULUCF - Deforestation","LULUCF - Deforestation","emission_co2e_co2_lndu_conversion_forests_mangroves_to_croplands:emission_co2e_co2_lndu_conversion_forests_mangroves_to_flooded:emission_co2e_co2_lndu_conversion_forests_mangroves_to_forests_mangroves:emission_co2e_co2_lndu_conversion_forests_mangroves_to_forests_primary:emission_co2e_co2_lndu_conversion_forests_mangroves_to_forests_secondary:emission_co2e_co2_lndu_conversion_forests_mangroves_to_grasslands:emission_co2e_co2_lndu_conversion_forests_mangroves_to_other:emission_co2e_co2_lndu_conversion_forests_mangroves_to_pastures:emission_co2e_co2_lndu_conversion_forests_mangroves_to_settlements:emission_co2e_co2_lndu_conversion_forests_mangroves_to_shrublands:emission_co2e_co2_lndu_conversion_forests_mangroves_to_wetlands:emission_co2e_co2_lndu_conversion_forests_primary_to_croplands:emission_co2e_co2_lndu_conversion_forests_primary_to_flooded:emission_co2e_co2_lndu_conversion_forests_primary_to_forests_mangroves:emission_co2e_co2_lndu_conversion_forests_primary_to_forests_primary:emission_co2e_co2_lndu_conversion_forests_primary_to_forests_secondary:emission_co2e_co2_lndu_conversion_forests_primary_to_grasslands:emission_co2e_co2_lndu_conversion_forests_primary_to_other:emission_co2e_co2_lndu_conversion_forests_primary_to_pastures:emission_co2e_co2_lndu_conversion_forests_primary_to_settlements:emission_co2e_co2_lndu_conversion_forests_primary_to_shrublands:emission_co2e_co2_lndu_conversion_forests_primary_to_wetlands:emission_co2e_co2_lndu_conversion_forests_secondary_to_croplands:emission_co2e_co2_lndu_conversion_forests_secondary_to_flooded:emission_co2e_co2_lndu_conversion_forests_secondary_to_forests_mangroves:emission_co2e_co2_lndu_conversion_forests_secondary_to_forests_primary:emission_co2e_co2_lndu_conversion_forests_secondary_to_forests_secondary:emission_co2e_co2_lndu_conversion_forests_secondary_to_grasslands:emission_co2e_co2_lndu_conversion_forests_secondary_to_other:emission_co2e_co2_lndu_conversion_forests_secondary_to_pastures:emission_co2e_co2_lndu_conversion_forests_secondary_to_settlements:emission_co2e_co2_lndu_conversion_forests_secondary_to_shrublands:emission_co2e_co2_lndu_conversion_forests_secondary_to_wetlands",NA,"",NA,"LULUCF - Deforestation:co2","61:lndu:co2",13.09904636
