"Sector","display_subsector","Gas","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Edgar_Class","Code","Country","Units","CSC.Sector","CSC.Subsector","2018","2019","2020","2021","2022"
"Energy","Fugitive Emissions","ch4",0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00330991855074376,0.00369143790206729,0.00423912844724982,"Fugitive Emissions:ch4","UGA","uganda","MtCO2e","Energy","Fugitive Emissions",0.00435308141284424,0.00447032570568383,0.00453054709046365,0.00459934205715439,0.00463945035740131
"Energy","Fugitive Emissions","co2",1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.24732417789093e-06,1.38742909280763e-06,1.58026867842047e-06,"Fugitive Emissions:co2","UGA","uganda","MtCO2e","Energy","Fugitive Emissions",1.62274823632554e-06,1.66645474015139e-06,1.68890415854549e-06,1.71454964969943e-06,1.7295012821903e-06
"Energy","Fugitive Emissions","n2o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fugitive Emissions:n2o","UGA","uganda","MtCO2e","Energy","Fugitive Emissions",0,0,0,0,0
"Energy","Manufacturing Industries and Construction","ch4",0.011634,0.012188,0.012742,0.0128805,0.013019,0.024653,0.036287,0.036287,0.036287,0.0325475,0.028808,0.030747,0.032686,0.035179,0.037672,0.039611,0.04155,0.059832,0.078114,0.078114,0.078114,0.067588,0.057062,"Manufacturing Industries and Construction:ch4","UGA","uganda","MtCO2e","Energy","Manufacturing Industries and Construction",0.05859589646095,0.0601740967729393,0.0609847239339388,0.0619107582445654,0.0624506474829239
"Energy","Manufacturing Industries and Construction","co2",0.1507,0.16815,0.1856,0.17805,0.1705,0.15935,0.1482,0.16705,0.1859,0.2501,0.3143,0.2564,0.1985,0.4309,0.6633,0.45385,0.2444,0.41155,0.5787,0.5787,0.5787,0.84025,1.1018,"Manufacturing Industries and Construction:co2","UGA","uganda","MtCO2e","Energy","Manufacturing Industries and Construction",1.131417733705,1.16189092258288,1.17754317812929,1.19542380978343,1.20584843497749
"Energy","Manufacturing Industries and Construction","n2o",0.01638,0.01638,0.01638,0.01638,0.01638,0.03276,0.04914,0.04914,0.04914,0.04368,0.03822,0.04095,0.04368,0.04641,0.04914,0.04641,0.04368,0.07371,0.10374,0.10374,0.10374,0.09009,0.07644,"Manufacturing Industries and Construction:n2o","UGA","uganda","MtCO2e","Energy","Manufacturing Industries and Construction",0.078494800839,0.0806089509187109,0.081694863438195,0.0829353748591809,0.083658608068324
"Energy","Transport","ch4",0.0051522,0.0053184,0.0054846,0.0060109,0.0065372,0.0064818,0.0064264,0.00652335,0.0066203,0.00630175,0.0059832,0.0064264,0.0068696,0.00854545,0.0102213,0.01142625,0.0126312,0.01422395,0.0158167,0.01757565,0.0193346,0.02120435,0.0230741,"Transport:ch4","UGA","uganda","MtCO2e","Energy","Transport",0.0236943600737725,0.024332535248475,0.02466032768785,0.0250347871930694,0.0252531016278037
"Energy","Transport","co2",0.5888,0.6053,0.6218,0.72645,0.8311,0.83615,0.8412,0.8486,0.856,0.9076,0.9592,1.10755,1.2559,1.4651,1.6743,1.83695,1.9996,2.06245,2.1253,2.255,2.3847,2.7441,3.1035,"Transport:co2","UGA","uganda","MtCO2e","Energy","Transport",3.1869258817875,3.27276137069884,3.31684993040866,3.36721527832899,3.39657888723239
"Energy","Transport","n2o",0.007917,0.0080535,0.00819,0.0096915,0.011193,0.011193,0.011193,0.0113295,0.011466,0.012285,0.013104,0.0151515,0.017199,0.0200655,0.022932,0.025116,0.0273,0.0279825,0.028665,0.0326235,0.036582,0.0391755,0.041769,"Transport:n2o","UGA","uganda","MtCO2e","Energy","Transport",0.042891801887025,0.044047033894867,0.0446404075215851,0.0453182584051953,0.0457134536944771
"IPPU","IPPU","co2",0.120001,0.125121,0.130241,0.135361,0.140481,0.145601,0.1569814,0.1683618,0.1797422,0.1911226,0.202503,0.2166834,0.2308638,0.2450442,0.2592246,0.273405,0.2897658,0.3061266,0.3224874,0.3388482,0.355209,0.3524605,0.349712,"IPPU:co2","UGA","uganda","MtCO2e","IPPU","IPPU",0.3591126869572,0.368784895914236,0.373752931484799,0.379428255007246,0.382737037477626
