Code,Country,Sector,Subsector,Gas,Units,Year,Value,Source
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2015,6.636495126,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2016,6.847411331,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2017,6.836706804,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2018,7.018010396,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2019,7.018946962,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2020,6.998850113,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2021,7.069138675,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2022,7.057941265,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2023,7.101155891,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2000,0.056490178,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2001,0.059932304,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2002,0.062480003,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2003,0.065498127,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2004,0.063737747,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2005,0.066481128,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2006,0.06764275,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2007,0.069061372,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2008,0.067348118,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2009,0.068058909,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2010,0.070220096,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2011,0.073873946,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2012,0.078038326,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2013,0.079319706,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2014,0.081183048,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2015,0.082809284,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2016,0.075967913,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2017,0.079880278,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2018,0.09114516,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2019,0.065832954,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2020,0.098157971,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2021,0.119852509,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2022,0.086284566,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2023,0.085779865,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2000,0.013861016,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2001,0.014705612,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2002,0.015330742,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2003,0.0160713,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2004,0.015639355,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2005,0.016312499,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2006,0.016597527,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2007,0.016945614,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2008,0.016525233,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2009,0.01669964,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2010,0.017229931,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2011,0.018126478,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2012,0.019148293,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2013,0.019462706,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2014,0.019919915,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2015,0.020318945,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2016,0.018640275,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2017,0.019600253,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2018,0.022364322,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2019,0.016153456,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2020,0.024085058,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2021,0.029408254,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2022,0.021171676,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2023,0.021047837,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2000,0.208226532,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2001,0.216649849,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2002,0.229801523,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2003,0.246068146,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2004,0.252593959,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2005,0.260645947,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2006,0.261845821,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2007,0.271482475,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2008,0.357464629,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2009,0.369178563,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2010,0.381579921,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2011,0.391990101,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2012,0.404376217,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2013,0.407815692,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2014,0.416330748,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2015,0.427641586,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2016,0.436595156,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2017,0.438969264,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2018,0.450083896,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2019,0.445796733,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2020,0.45229495,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2021,0.460430198,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2022,0.454582341,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2023,0.457386391,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2000,0.012978744,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2001,0.013533893,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2002,0.014796734,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2003,0.016387249,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2004,0.017436473,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2005,0.018000077,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2006,0.018219424,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2007,0.01886563,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2008,0.020766595,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2009,0.021384984,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2010,0.022087041,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2011,0.022617099,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2012,0.023189005,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2013,0.023453416,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2014,0.023332696,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2015,0.023916356,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2016,0.024085651,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2017,0.024403491,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2018,0.024542503,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2019,0.024811277,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2020,0.024891628,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2021,0.025171454,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2022,0.025388614,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2023,0.025607875,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2000,0.256552733,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2001,0.270805662,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2002,0.285058592,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2003,0.306437986,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2004,0.331380613,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2005,0.363449705,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2006,0.402645261,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2007,0.424024656,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2008,0.456093747,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2009,0.306437986,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2010,0.310001219,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2011,0.320690916,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2012,0.327817381,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2013,0.331380613,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2014,0.338507078,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2015,0.339494093,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2016,0.29867014,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2017,0.25477468,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2018,0.264295637,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2019,0.219523622,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2020,0.483149371,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2021,0.927085369,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2022,0.926440424,WB CSC
UGA,Uganda,Agriculture,AG - Crops,CH4,MtCO2e,2023,0.926440424,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2000,2.005225547,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2001,2.048983443,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2002,2.10560349,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2003,2.161733401,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2004,2.212710308,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2005,2.260814555,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2006,2.309959441,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2007,2.351877772,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2008,2.427974835,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2009,2.543852914,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2010,2.632862351,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2011,2.743218301,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2012,2.84166452,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2013,2.988092261,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2014,3.093147839,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2015,3.232519798,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2016,3.331572588,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2017,3.429688706,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2018,3.506457361,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2019,3.473216276,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2020,3.692920232,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2021,3.847357691,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2022,3.892268165,WB CSC
UGA,Uganda,Energy,EN - Building,CH4,MtCO2e,2023,3.892270097,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2000,0.04068611,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2001,0.03753689,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2002,0.12112326,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2003,0.13652645,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2004,0.1396297,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2005,0.28710346,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2006,0.29323731,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2007,0.44624037,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2008,0.3680888,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2009,0.37863734,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2010,0.343732,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2011,0.33812755,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2012,0.38618613,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2013,0.38209534,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2014,0.36222082,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2015,0.48964174,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2016,0.52429611,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2017,0.543696851,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2018,0.588277648,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2019,0.604793997,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2020,0.54898344,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2021,0.648823192,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2022,0.601426264,WB CSC
UGA,Uganda,Energy,EN - Building,CO2,MtCO2e,2023,0.60163766,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2000,0.242128616,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2001,0.247345756,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2002,0.254354113,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2003,0.261147825,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2004,0.267269465,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2005,0.273291029,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2006,0.279158396,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2007,0.284379458,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2008,0.293463936,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2009,0.30713879,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2010,0.317309124,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2011,0.330108727,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2012,0.341428568,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2013,0.35862645,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2014,0.370526625,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2015,0.386914146,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2016,0.397270433,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2017,0.42165333,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2018,0.446969176,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2019,0.437238908,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2020,0.464477598,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2021,0.482868028,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2022,0.485377304,WB CSC
UGA,Uganda,Energy,EN - Building,N2O,MtCO2e,2023,0.485387916,WB CSC
UGA,Uganda,Energy,EN - Fugitive Emissions,CH4,MtCO2e,2000,2.3545368,WB CSC
UGA,Uganda,Energy,EN - Fugitive Emissions,CH4,MtCO2e,2001,2.4175536,WB CSC
UGA,Uganda,Energy,EN - Fugitive Emissions,CH4,MtCO2e,2002,2.4805704,WB CSC
UGA,Uganda,Energy,EN - Fugitive Emissions,CH4,MtCO2e,2003,2.5464516,WB CSC
UGA,Uganda,Energy,EN - Fugitive Emissions,CH4,MtCO2e,2004,2.6151972,WB CSC
