strategy_id,primary_id,Subsector_Category,CSC.Subsector,CSC.Sector,value,Year,Gas,design_id,future_id,strategy,Code,Contry,source
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.049712177368879,2039,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0506914005293394,2040,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0518085878420364,2041,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0530968665581448,2042,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0546023729353786,2043,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0563656014900668,2044,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0584184877262547,2045,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0608395818654555,2046,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0643206085731922,2047,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0685357653931742,2048,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0729567819621979,2049,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0775852237638161,2050,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0824169374034151,2051,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0874429095490442,2052,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0926509860061523,2053,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0980251523290087,2054,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.103547362205833,2055,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.10919867094161,2056,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.11497969626752,2057,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.120893047383713,2058,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.126941099192231,2059,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.133125471024789,2060,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.139461935909159,2061,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.145983578986673,2062,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.152667984278689,2063,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.159525702710949,2064,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.166567570875552,2065,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
