year,frac_trns_pkm_dem_private_and_public_human_powered,frac_trns_pkm_dem_private_and_public_powered_bikes,frac_trns_pkm_dem_private_and_public_public,frac_trns_pkm_dem_private_and_public_road_light,frac_trns_pkm_dem_private_and_public_water_borne,frac_trns_pkm_dem_regional_aviation,frac_trns_pkm_dem_regional_rail_passenger,frac_trns_pkm_dem_regional_road_heavy_regional,frac_trns_pkm_dem_regional_road_light,frac_trns_pkm_dem_regional_water_borne
2049,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2050,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2051,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2052,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2053,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2054,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2055,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2056,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2057,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2058,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2059,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2060,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2061,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2062,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2063,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2064,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2065,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2066,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2067,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2068,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2069,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2070,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2071,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2072,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2073,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2074,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2075,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2076,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2077,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2078,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2079,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2080,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2081,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2082,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2083,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2084,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2085,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2086,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2087,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2088,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2089,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2090,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2091,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2092,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2093,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2094,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2095,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2096,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2097,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2098,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2099,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2100,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
