year,frac_trns_mtkm_dem_freight_aviation,frac_trns_mtkm_dem_freight_rail_freight,frac_trns_mtkm_dem_freight_road_heavy_freight,frac_trns_mtkm_dem_freight_water_borne
2063,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2064,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2065,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2066,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2067,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2068,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2069,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2070,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2071,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2072,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2073,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2074,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2075,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2076,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2077,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2078,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2079,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2080,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2081,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2082,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2083,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2084,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2085,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2086,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2087,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2088,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2089,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2090,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2091,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2092,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2093,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2094,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2095,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2096,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2097,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2098,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2099,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2100,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
