Report generated on: 04-29-2026 09:46:00
"API","","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"INTL.2-4-BWA-BKWH.A","        Botswana","0","0","0.07","0.127","0.086","0.042","0.002","0.002","0.131165",".15"
"INTL.2-4-BRA-BKWH.A","        Brazil","0.219","0.518","0.156","0.001","0.199","0.395","0.044","4.979","7.18574","2.51"
"INTL.2-4-VGB-BKWH.A","        British Virgin Islands","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-BRN-BKWH.A","        Brunei","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-BGR-BKWH.A","        Bulgaria","14.826","10.94","9.186","10.03","8.855","7.115","10.635","13.665","7.748263","6.907558"
"INTL.2-4-BFA-BKWH.A","        Burkina Faso","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-MMR-BKWH.A","        Burma","0","2.381","1.393","1.431","1.274","1.238","1.317","0.203","0.001208","0.001"
"INTL.2-4-BDI-BKWH.A","        Burundi","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-CPV-BKWH.A","        Cabo Verde","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-KHM-BKWH.A","        Cambodia","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-CMR-BKWH.A","        Cameroon","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-CAN-BKWH.A","        Canada","68.2555","73.1027","72.1415","61.399","60.4113","67.4214","60.304","65.224925153","49.307045966","35.642066088"
"INTL.2-4-CYM-BKWH.A","        Cayman Islands","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-CAF-BKWH.A","        Central African Republic","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-TCD-BKWH.A","        Chad","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-CHL-BKWH.A","        Chile","0","0.002","0.039","0","0","0","0","0","0","0"
"INTL.2-4-CHN-BKWH.A","        China","18.654","18.907","19.47","20.906","21.655","21.793","20.176","20.088","22.10435","22"
"INTL.2-4-COL-BKWH.A","        Colombia","0.46","0.045","0.0092","0.0161","0.0001","0.251","0.364","0.0481763","1.244393","1.215256"
"INTL.2-4-COM-BKWH.A","        Comoros","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-COG-BKWH.A","        Congo-Brazzaville","0.033","0.022","0.022","0.026","0.044","0.016","0.026","0.02521036","0.072283",".1"
"INTL.2-4-COD-BKWH.A","        Congo-Kinshasa","0.058","0.065","0.061","0.07","0.061","0.05","0.062","0.062","0.059172","0.06"
"INTL.2-4-COK-BKWH.A","        Cook Islands","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-CRI-BKWH.A","        Costa Rica","0.6434","0.137","0.234","0.308","0.323","0.624","1.009","0.7739791","0.110897","0.136773"
"INTL.2-4-CIV-BKWH.A","        Cote d'Ivoire","0.872","1.246","1.877","1.156","1.178","1.275","0.845","0.971","0.977","1"
"INTL.2-4-HRV-BKWH.A","        Croatia","6.369","6.867","5.204","7.306","5.268","5.852","7.544","7.226","8.4602","8.6521"
"INTL.2-4-CUB-BKWH.A","        Cuba","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-CYP-BKWH.A","        Cyprus","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-CZE-BKWH.A","        Czechia","28.661","24.791","28.1089","25.4805","24.1228","23.5209","26.2282","30.2549116","22.6480935","22.0094092"
"INTL.2-4-DNK-BKWH.A","        Denmark","9.7332","9.9194","10.6554","10.4093","10.171","11.7114","15.251","17.3918181","16.6975107","21.455228"
"INTL.2-4-DJI-BKWH.A","        Djibouti","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-DMA-BKWH.A","        Dominica","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-DOM-BKWH.A","        Dominican Republic","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ECU-BKWH.A","        Ecuador","0.046","0.402","0.212","0.256","1.827","1.341","0.524","0.192","0.545",".5"
"INTL.2-4-EGY-BKWH.A","        Egypt","0.747","0.333","0.425","0.641","0.885","1.591","1.643","1.752","1.491015","1.5"
"INTL.2-4-SLV-BKWH.A","        El Salvador","0.064","0.078","0.09","0.065","0.158","0.131","0.034","0.08575","0.560278",".5"
"INTL.2-4-GNQ-BKWH.A","        Equatorial Guinea","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ERI-BKWH.A","        Eritrea","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-EST-BKWH.A","        Estonia","6.377","5.614","5.015","4.95","2.704","3.723","4.7034","6.1725314","4.355404","2.656"
"INTL.2-4-SWZ-BKWH.A","        Eswatini","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ETH-BKWH.A","        Ethiopia","0.7","1.303","1.432","1","1.145","1.637","1.665","1.75","1.7795","1.8"
"INTL.2-4-FLK-BKWH.A","        Falkland Islands","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-FRO-BKWH.A","        Faroe Islands","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-FJI-BKWH.A","        Fiji","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-FIN-BKWH.A","        Finland","5.122","3.159","1.779","2.612","3.896","6.67","6.724","6.896202","7.92","5.535"
"INTL.2-4-CSK-BKWH.A","        Former Czechoslovakia","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-SCG-BKWH.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-SUN-BKWH.A","        Former U.S.S.R.","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-YUG-BKWH.A","        Former Yugoslavia","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-FRA-BKWH.A","        France","74.024","61.404","61.248","76.4788","73.2988","64.5753","69.2267","37.3292956","75.90355","104.959632"
"INTL.2-4-GUF-BKWH.A","        French Guiana","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie"
"INTL.2-4-PYF-BKWH.A","        French Polynesia","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-GAB-BKWH.A","        Gabon","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-GMB-BKWH.A","        Gambia, The","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-GEO-BKWH.A","        Georgia","0.66","1.409","0.9397","0.602","0.38","0.2556","1.575","4.131","4.91285","2.1217"
"INTL.2-4-DEU-BKWH.A","        Germany","85.29","78.863","80.301","80.463","72.7939","66.882","70.306","76.2907197","60.082","55.389"
"INTL.2-4-DDR-BKWH.A","        Germany, East","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-DEUW-BKWH.A","        Germany, West","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-GHA-BKWH.A","        Ghana","0.587","0.187","0.268","0.74","1.43","1.801","1.733","2.215","2.528246","2.5"
"INTL.2-4-GIB-BKWH.A","        Gibraltar","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-GRC-BKWH.A","        Greece","1.473","1.037","2.459","2.272","1.123","0.967","3.897","4.3026035","3.238","6.01927"
"INTL.2-4-GRL-BKWH.A","        Greenland","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-GRD-BKWH.A","        Grenada","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-GLP-BKWH.A","        Guadeloupe","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie"
"INTL.2-4-GUM-BKWH.A","        Guam","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-GTM-BKWH.A","        Guatemala","1.087","1.335","1.858","2.5","2.19","1.156","1.116","1.104","1.064251","1.1"
"INTL.2-4-GIN-BKWH.A","        Guinea","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-GNB-BKWH.A","        Guinea-Bissau","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-GUY-BKWH.A","        Guyana","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-HTI-BKWH.A","        Haiti","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-HITZ-BKWH.A","        Hawaiian Trade Zone","--","--","--","--","--","--","--","--","--",""
"INTL.2-4-HND-BKWH.A","        Honduras","0.002","0.016","0.025","0.008","0.54","0.458","0.003","0.003","0.008811","0.006"
"INTL.2-4-HKG-BKWH.A","        Hong Kong","1.187","1.205","1.341","0.556","0","0","0","0","0","0"
"INTL.2-4-HUN-BKWH.A","        Hungary","6.249","5.24","6.925","4.265","7.269","7.499","7.213","9.4385371","8.865","11.987"
"INTL.2-4-ISL-BKWH.A","        Iceland","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-IND-BKWH.A","        India","5.15","6.71","7.203","8.494","9.491","9.426","9.574","9.574","9.901722826","10"
"INTL.2-4-IDN-BKWH.A","        Indonesia","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-IRN-BKWH.A","        Iran","6.822","6.688","8.172","6.295","8.206","9.47","9.47","9.47","9.901722826","5.6"
"INTL.2-4-IRQ-BKWH.A","        Iraq","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-IRL-BKWH.A","        Ireland","1.0786","1.583","1.7949","1.6492","1.535","1.913","0.8631","1.3418204","0.446418","0.210777"
"INTL.2-4-ISR-BKWH.A","        Israel","5.197","5.553","5.649","5.863","6.311","6.243","6.523","6.916","6.9312","6.4"
"INTL.2-4-ITA-BKWH.A","        Italy","4.471","6.154","5.1342","3.2714","5.8337","7.5896","3.7703","4.4190583","3.320491","4.90796"
"INTL.2-4-JAM-BKWH.A","        Jamaica","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-JPN-BKWH.A","        Japan","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-JOR-BKWH.A","        Jordan","0.05","0.046","0.057","0.094","0.098","0.1901","0.173","0.192","0.2004",".2"
"INTL.2-4-KAZ-BKWH.A","        Kazakhstan","1.614","2.572","5.692","5.042","2.419","2.323","2.639","2.243","2.710273","2.450495"
"INTL.2-4-KEN-BKWH.A","        Kenya","0.047","0.039","0.012","0.035","0.016","0.0165","0.018","0.018","0.0338","0.0428"
"INTL.2-4-KIR-BKWH.A","        Kiribati","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-XKS-BKWH.A","        Kosovo","0.553","1.064","0.8799","0.6768","0.905","1.2832","2.649","3.139","2.442319","2.622204"
"INTL.2-4-KWT-BKWH.A","        Kuwait","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-KGZ-BKWH.A","        Kyrgyzstan","0.184","0.199","1.215","0.755","0.271","0.302","0.548","0.457","0.138409",".36"
"INTL.2-4-LAO-BKWH.A","        Laos","11.549","19.65","24.901","27.216","24.114","30.859","34.679","39.965","36.96576","38"
"INTL.2-4-LVA-BKWH.A","        Latvia","3.425","3.795","4.1371","4.2648","3.4927","2.5477","2.8937","2.9967614","3.271038","3.173622"
"INTL.2-4-LBN-BKWH.A","        Lebanon","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-LSO-BKWH.A","        Lesotho","0.0044","0.0026","0.0008","0.0029","0.0009","0","0","0","","0"
"INTL.2-4-LBR-BKWH.A","        Liberia","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-LBY-BKWH.A","        Libya","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-LTU-BKWH.A","        Lithuania","0.73","2.831","3.249","3.215","3.9243","4.1049","3.4352","2.652","3.9801","4.2994"
"INTL.2-4-LUX-BKWH.A","        Luxembourg","1.9194","1.4197","1.3886","1.3917","0.9387","1.0786","1.0371","1.6392573","1.187728","1.321778"
"INTL.2-4-MAC-BKWH.A","        Macau","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-MDG-BKWH.A","        Madagascar","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-MWI-BKWH.A","        Malawi","0.0219","0.0244","0.0204","0.0193","0.0199","0.0189","0.02","0.02","0.02","0.02"
"INTL.2-4-MYS-BKWH.A","        Malaysia","0.003","0.694","1.124","1.51","1.699","1.572","0.977","1.416","1.120843","1.1"
"INTL.2-4-MDV-BKWH.A","        Maldives","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-MLI-BKWH.A","        Mali","0.183","0.631","0.586","0.571","0.556","0.615","0.633","0.6","0.974822","1"
"INTL.2-4-MLT-BKWH.A","        Malta","0","0","0.0357","0.0105","0.0205","0.0042","0.036","0.007","0.026226","0.002925"
"INTL.2-4-MTQ-BKWH.A","        Martinique","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie"
"INTL.2-4-MRT-BKWH.A","        Mauritania","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-MUS-BKWH.A","        Mauritius","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-MEX-BKWH.A","        Mexico","2.32","1.968","1.804","2.426","3.084","5.955","2.693","2.421","3.112","3.193975"
"INTL.2-4-FSM-BKWH.A","        Micronesia","","","","--","--","--","--","--","--",""
"INTL.2-4-MDA-BKWH.A","        Moldova","0","0","0","0","0","0","0","0.094","0.337","0.4456"
"INTL.2-4-MNG-BKWH.A","        Mongolia","0.051","0.036","0.026","0.027","0.024","0.042","0.024","0.024","0.037","0.035"
"INTL.2-4-MNE-BKWH.A","        Montenegro","0.517","0.906","0.4167","0.976","0.9429","5.864","5.489","8.326","6.2878","6.1087"
"INTL.2-4-MSR-BKWH.A","        Montserrat","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-MAR-BKWH.A","        Morocco","0.165","0.135","0.161","0.35","1.453","0.624","0.851","0.471","0.461626","0.356036"
"INTL.2-4-MOZ-BKWH.A","        Mozambique","11.561","11.711","10.01","9.738","10.771","11.511","11.096","11.45","11.37403","11.4"
"INTL.2-4-NAM-BKWH.A","        Namibia","0.088","0.099","0.1","0.114","0.119","0.593","0.382","0.169","0.198",".2"
"INTL.2-4-NRU-BKWH.A","        Nauru","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-NPL-BKWH.A","        Nepal","0.003","0.003","0.003","0.035","0.107","0.038","0.493","1.346","1.946","1.9"
"INTL.2-4-NLD-BKWH.A","        Netherlands","22.0119","19.3433","18.9515","18.7847","19.5476","22.4328","20.6324","22.810847","25.206139","24.248955"
"INTL.2-4-NLDA-BKWH.A","        Netherlands Antilles","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-NCL-BKWH.A","        New Caledonia","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-NZL-BKWH.A","        New Zealand","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-NIC-BKWH.A","        Nicaragua","0.022","0.018","0.001","0","0.0002","0","0","0","","0"
"INTL.2-4-NER-BKWH.A","        Niger","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-NGA-BKWH.A","        Nigeria","0","1.942","2.462","3.003","2.327","3.009256","3.056772","2.433","2.31688","2.3"
"INTL.2-4-NIU-BKWH.A","        Niue","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-PRK-BKWH.A","        North Korea","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-MKD-BKWH.A","        North Macedonia","0.143","0.16","0.311","0.3774","5.054","4.408","4.93","5.662","7.081362","6.935955"
"INTL.2-4-MNP-BKWH.A","        Northern Mariana Islands","NA","NA","NA","--","--","--","--","--","--","--"
"INTL.2-4-NOR-BKWH.A","        Norway","22.016","22.151","21.276","18.4889","12.309","24.9683","25.8189","25.7915721","30.977995","33.124"
"INTL.2-4-OMN-BKWH.A","        Oman","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-PAK-BKWH.A","        Pakistan","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-PSE-BKWH.A","        Palestinian Territories","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-PAN-BKWH.A","        Panama","0.139","0.398","0.318","0.326","0.427","0.567","0.502","0.392","0.269713",".27"
"INTL.2-4-PNG-BKWH.A","        Papua New Guinea","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-PRY-BKWH.A","        Paraguay","41.127","48.415","43.635","42.205","31.748","28.005","21.719","23.955","30.389767","30"
"INTL.2-4-PER-BKWH.A","        Peru","0.055","0.038","0","0","0","0","0","0","","0.005"
"INTL.2-4-PHL-BKWH.A","        Philippines","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-POL-BKWH.A","        Poland","14.793","12.018","10.984","8.1213","7.2454","7.3571","14.2121","16.914939","11.40284","13.246547"
"INTL.2-4-PRT-BKWH.A","        Portugal","5.811","9.701","8.1897","8.3245","4.7","6.0969","4.7914","3.0615656","3.422757","3.891"
"INTL.2-4-PRI-BKWH.A","        Puerto Rico","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-QAT-BKWH.A","        Qatar","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-REU-BKWH.A","        Reunion","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie"
"INTL.2-4-ROU-BKWH.A","        Romania","11.22","9.194","7.7354","6.241","3.9746","5.4593","6.499","7.429","13.105966","11.9848"
"INTL.2-4-RUS-BKWH.A","        Russia","18.244","17.694","17.006","17.779","20.049","12.116","22.903","17.97","18.134893","18"
"INTL.2-4-RWA-BKWH.A","        Rwanda","0.002","0.0044","0.0041","0.004","0.0045","0.005","0.009","0.009","0.010674","0.01"
"INTL.2-4-SHN-BKWH.A","        Saint Helena","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-KNA-BKWH.A","        Saint Kitts and Nevis","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-LCA-BKWH.A","        Saint Lucia","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-SPM-BKWH.A","        Saint Pierre and Miquelon","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-VCT-BKWH.A","        Saint Vincent/Grenadines","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-WSM-BKWH.A","        Samoa","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-STP-BKWH.A","        Sao Tome and Principe","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-SAU-BKWH.A","        Saudi Arabia","0.5117","1.0622","0.0378","0.385","0.033","0.832","0.352","0.352","0.352",".352"
"INTL.2-4-SEN-BKWH.A","        Senegal","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-SRB-BKWH.A","        Serbia","7.221","6.99","5.7241","6.2835","5.341","5.6747","6.333","5.613","7.363937","6.416312"
"INTL.2-4-SYC-BKWH.A","        Seychelles","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-SLE-BKWH.A","        Sierra Leone","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-SGP-BKWH.A","        Singapore","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-SVK-BKWH.A","        Slovakia","12.611","10.598","12.535","8.746","11.838","12.97","13.11","15.3355462","14.071","17.411"
"INTL.2-4-SVN-BKWH.A","        Slovenia","9.093","9.535","9.6482","9.4324","9.3398","9.1231","8.6576","8.7523262","10.619838","12.374696"
"INTL.2-4-SLB-BKWH.A","        Solomon Islands","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-SOM-BKWH.A","        Somalia","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ZAF-BKWH.A","        South Africa","14.609","16.549","15.201","14.386","14.977","13.647","13.705","12.27","11.256","12"
"INTL.2-4-KOR-BKWH.A","        South Korea","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-SSD-BKWH.A","        South Sudan","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ESP-BKWH.A","        Spain","15.089","14.178","14.593","12.916","11.8585","14.6488","16.5588","27.9155912","25.27297","24.581131"
"INTL.2-4-LKA-BKWH.A","        Sri Lanka","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-SDN-BKWH.A","        Sudan","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-SUR-BKWH.A","        Suriname","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-SWE-BKWH.A","        Sweden","31.894","26.022","30.888","29.425","35.231","36.824","33.909","39.0644355","35.822","39.138"
"INTL.2-4-CHE-BKWH.A","        Switzerland","35.068","30.173","30.946","32.607","35.765","32.548","29.119","29.8807409","33.856","40.354"
"INTL.2-4-SYR-BKWH.A","        Syria","0.262","0.067","0.543","0.543","0.347","0.317","0.346","0.361","0.636083",".6"
"INTL.2-4-TWN-BKWH.A","        Taiwan","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-TJK-BKWH.A","        Tajikistan","1.4","1.428","1.421","2.945","3.175","1.87","3.307","3.344","3.462","3.5"
"INTL.2-4-TZA-BKWH.A","        Tanzania","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-THA-BKWH.A","        Thailand","2.2668","1.4363","1.106","1.0932","2.882","2.6176","1.9691","2.061919856","2.256256564","3.57709"
"INTL.2-4-BHS-BKWH.A","        The Bahamas","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-TLS-BKWH.A","        Timor-Leste","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-TGO-BKWH.A","        Togo","0","0","0.104","0.192","0","0","0","0","","0"
"INTL.2-4-TON-BKWH.A","        Tonga","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-TTO-BKWH.A","        Trinidad and Tobago","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-TUN-BKWH.A","        Tunisia","0.5","0.255","0.483","0.484","0.631","0.969","0.302","0.154","0.079741",".11"
"INTL.2-4-TUR-BKWH.A","        Turkiye","3.195","1.452","3.3037","3.1119","2.7887","2.4836","4.1864","3.7095144","2.075778","3.661242"
"INTL.2-4-TKM-BKWH.A","        Turkmenistan","3.201","3.201","3.201","3.201","3.201","3.201","3.201","9","9","9"
"INTL.2-4-TCA-BKWH.A","        Turks and Caicos Islands","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-TUV-BKWH.A","        Tuvalu","","","","NA","NA","NA","NA","NA","NA",""
"INTL.2-4-USIQ-BKWH.A","        U.S. Pacific Islands","--","--","--","--","--","--","--","--","--","0"
"none","        U.S. Territories","","","","","","","","","",""
"INTL.2-4-VIR-BKWH.A","        U.S. Virgin Islands","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-UGA-BKWH.A","        Uganda","0.121","0.163","0.3164","0.2331","0.302","0.222","0.395","0.43","0.48846",".48"
"INTL.2-4-UKR-BKWH.A","        Ukraine","3.591","3.83","5.226","6.099","6.283","5.139","3.497","6.1","0.366474",".37"
"INTL.2-4-ARE-BKWH.A","        United Arab Emirates","0.249","0.506","0.617","0.517","0.257","0.235","0.657","0.613","0.402505",".6"
"INTL.2-4-GBR-BKWH.A","        United Kingdom","1.8553","2.2729","3.4071","2.2248","3.3851","4.4808","4.1655","20.7928683","9.471506","10.3251"
"INTL.2-4-USA-BKWH.A","        United States","9.099889","6.214017","9.370803","13.804492","20.008032","14.134679","13.855418","15.758322","20.013046","19.437047"
"INTL.2-4-URY-BKWH.A","        Uruguay","1.321","0.779","1.462","1.196","3.011","1.148","2.845","1.417","0.24423",".25"
"INTL.2-4-UZB-BKWH.A","        Uzbekistan","6.81","6.774","7.585","2.627","2.067","2.687","2.644","2.644","1.677506","1.7"
"INTL.2-4-VUT-BKWH.A","        Vanuatu","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-VEN-BKWH.A","        Venezuela","0.974","1.107","1.064","1.023","0.87","0.652","0","0","0","0"
"INTL.2-4-VNM-BKWH.A","        Vietnam","1.416","1.409","1.65","1.509","2.067","1.555","0.582","0.957","0.739",".7"
"INTL.2-4-WAK-BKWH.A","        Wake Island","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ESH-BKWH.A","        Western Sahara","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-YEM-BKWH.A","        Yemen","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ZMB-BKWH.A","        Zambia","1.176","0.794","1.063","1.225","0.976","1.34","2.152","3.073","3.661","3.4"
"INTL.2-4-ZWE-BKWH.A","        Zimbabwe","1.248","0.369","0.351","0.161","0.504","0.355","0.45","0.395","0.13033",".36"
