strategy_code,future_id,region,time_period,difference_variable,value,variable
PFLO:NZ,0,uganda,50,frac_scoe_heat_energy_residential_solid_biomass,281261212.33936363,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,51,frac_scoe_heat_energy_residential_solid_biomass,292872164.2036923,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,52,frac_scoe_heat_energy_residential_solid_biomass,304682959.58219105,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,53,frac_scoe_heat_energy_residential_solid_biomass,316683159.8450376,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,54,frac_scoe_heat_energy_residential_solid_biomass,328867237.80684555,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,55,frac_scoe_heat_energy_residential_solid_biomass,341252009.84082216,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,4,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,5,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,6,frac_scoe_heat_energy_residential_solid_biomass,155007818.38038045,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,7,frac_scoe_heat_energy_residential_solid_biomass,422249467.6752147,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,8,frac_scoe_heat_energy_residential_solid_biomass,870031892.0871387,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,9,frac_scoe_heat_energy_residential_solid_biomass,1591827378.957282,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,10,frac_scoe_heat_energy_residential_solid_biomass,2692209900.5235415,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,11,frac_scoe_heat_energy_residential_solid_biomass,4241673982.088818,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,12,frac_scoe_heat_energy_residential_solid_biomass,6149711256.050535,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,13,frac_scoe_heat_energy_residential_solid_biomass,8218357469.641417,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,14,frac_scoe_heat_energy_residential_solid_biomass,10131850704.170042,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,15,frac_scoe_heat_energy_residential_solid_biomass,11606022400.734844,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,16,frac_scoe_heat_energy_residential_solid_biomass,12477892601.05263,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,17,frac_scoe_heat_energy_residential_solid_biomass,12699772042.400969,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,18,frac_scoe_heat_energy_residential_solid_biomass,12295125447.66202,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,19,frac_scoe_heat_energy_residential_solid_biomass,11335269366.961155,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,20,frac_scoe_heat_energy_residential_solid_biomass,9943222930.883387,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,21,frac_scoe_heat_energy_residential_solid_biomass,8231654560.540934,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,22,frac_scoe_heat_energy_residential_solid_biomass,6510255671.249138,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,23,frac_scoe_heat_energy_residential_solid_biomass,4931296896.097679,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,24,frac_scoe_heat_energy_residential_solid_biomass,3593401247.3623314,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,25,frac_scoe_heat_energy_residential_solid_biomass,2530271275.4996247,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,26,frac_scoe_heat_energy_residential_solid_biomass,1726005199.8209822,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,27,frac_scoe_heat_energy_residential_solid_biomass,1136830750.7936966,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,28,frac_scoe_heat_energy_residential_solid_biomass,718431993.0021138,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,29,frac_scoe_heat_energy_residential_solid_biomass,426190838.27632254,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,30,frac_scoe_heat_energy_residential_solid_biomass,224160908.3728142,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,31,frac_scoe_heat_energy_residential_solid_biomass,228750280.04248127,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,32,frac_scoe_heat_energy_residential_solid_biomass,233379636.58798838,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,33,frac_scoe_heat_energy_residential_solid_biomass,238041291.27159464,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,34,frac_scoe_heat_energy_residential_solid_biomass,242710915.25119328,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,35,frac_scoe_heat_energy_residential_solid_biomass,247386746.86258334,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,36,frac_scoe_heat_energy_residential_solid_biomass,252079128.31442058,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,37,frac_scoe_heat_energy_residential_solid_biomass,256794766.04030785,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,38,frac_scoe_heat_energy_residential_solid_biomass,261537030.55653128,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,39,frac_scoe_heat_energy_residential_solid_biomass,266287327.8001913,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,40,frac_scoe_heat_energy_residential_solid_biomass,271032193.0056279,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,41,frac_scoe_heat_energy_residential_solid_biomass,275774633.3999467,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,42,frac_scoe_heat_energy_residential_solid_biomass,280524013.77091295,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,43,frac_scoe_heat_energy_residential_solid_biomass,285279616.1899079,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,44,frac_scoe_heat_energy_residential_solid_biomass,290027252.19615805,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,45,frac_scoe_heat_energy_residential_solid_biomass,294749861.6144149,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,46,frac_scoe_heat_energy_residential_solid_biomass,299474448.9404324,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,47,frac_scoe_heat_energy_residential_solid_biomass,304206999.79594743,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,48,frac_scoe_heat_energy_residential_solid_biomass,308913765.76938593,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,49,frac_scoe_heat_energy_residential_solid_biomass,313603904.0546956,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,50,frac_scoe_heat_energy_residential_solid_biomass,318269266.5945415,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,51,frac_scoe_heat_energy_residential_solid_biomass,322910334.8912501,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,52,frac_scoe_heat_energy_residential_solid_biomass,327534181.5508521,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,53,frac_scoe_heat_energy_residential_solid_biomass,332131118.86186653,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,54,frac_scoe_heat_energy_residential_solid_biomass,336697410.135579,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2020_TUNED,0,uganda,55,frac_scoe_heat_energy_residential_solid_biomass,341252009.84082216,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,4,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,5,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,6,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,7,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,8,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,9,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,10,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,11,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,12,frac_scoe_heat_energy_residential_solid_biomass,181788800.13560283,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,13,frac_scoe_heat_energy_residential_solid_biomass,487805210.74165136,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,14,frac_scoe_heat_energy_residential_solid_biomass,982844162.330953,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,15,frac_scoe_heat_energy_residential_solid_biomass,1739866252.6935408,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,16,frac_scoe_heat_energy_residential_solid_biomass,2804627218.3330865,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,17,frac_scoe_heat_energy_residential_solid_biomass,4126238416.579008,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,18,frac_scoe_heat_energy_residential_solid_biomass,5487555414.663925,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,19,frac_scoe_heat_energy_residential_solid_biomass,6530151805.138999,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,20,frac_scoe_heat_energy_residential_solid_biomass,6931056045.732853,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,21,frac_scoe_heat_energy_residential_solid_biomass,6603965580.992796,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,22,frac_scoe_heat_energy_residential_solid_biomass,5727280178.959931,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,23,frac_scoe_heat_energy_residential_solid_biomass,4597848014.192611,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,24,frac_scoe_heat_energy_residential_solid_biomass,3472094055.420937,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,25,frac_scoe_heat_energy_residential_solid_biomass,2498015223.9084234,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,26,frac_scoe_heat_energy_residential_solid_biomass,1726005199.8209822,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,27,frac_scoe_heat_energy_residential_solid_biomass,1136830750.7936966,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,28,frac_scoe_heat_energy_residential_solid_biomass,718431993.0021138,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,29,frac_scoe_heat_energy_residential_solid_biomass,426190838.27632254,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,30,frac_scoe_heat_energy_residential_solid_biomass,224160908.3728142,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,31,frac_scoe_heat_energy_residential_solid_biomass,228750280.04248127,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,32,frac_scoe_heat_energy_residential_solid_biomass,233379636.58798838,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,33,frac_scoe_heat_energy_residential_solid_biomass,238041291.27159464,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,34,frac_scoe_heat_energy_residential_solid_biomass,242710915.25119328,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,35,frac_scoe_heat_energy_residential_solid_biomass,247386746.86258334,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,36,frac_scoe_heat_energy_residential_solid_biomass,252079128.31442058,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,37,frac_scoe_heat_energy_residential_solid_biomass,256794766.04030785,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,38,frac_scoe_heat_energy_residential_solid_biomass,261537030.55653128,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,39,frac_scoe_heat_energy_residential_solid_biomass,266287327.8001913,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,40,frac_scoe_heat_energy_residential_solid_biomass,271032193.0056279,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,41,frac_scoe_heat_energy_residential_solid_biomass,275774633.3999467,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,42,frac_scoe_heat_energy_residential_solid_biomass,280524013.77091295,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,43,frac_scoe_heat_energy_residential_solid_biomass,285279616.1899079,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,44,frac_scoe_heat_energy_residential_solid_biomass,290027252.19615805,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,45,frac_scoe_heat_energy_residential_solid_biomass,294749861.6144149,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,46,frac_scoe_heat_energy_residential_solid_biomass,299474448.9404324,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,47,frac_scoe_heat_energy_residential_solid_biomass,304206999.79594743,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,48,frac_scoe_heat_energy_residential_solid_biomass,308913765.76938593,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,49,frac_scoe_heat_energy_residential_solid_biomass,313603904.0546956,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,50,frac_scoe_heat_energy_residential_solid_biomass,318269266.5945415,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,51,frac_scoe_heat_energy_residential_solid_biomass,322910334.8912501,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,52,frac_scoe_heat_energy_residential_solid_biomass,327534181.5508521,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,53,frac_scoe_heat_energy_residential_solid_biomass,332131118.86186653,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,54,frac_scoe_heat_energy_residential_solid_biomass,336697410.135579,cb:scoe:indoor_air_pollution
PFLO:NDC_2_2025_TUNED,0,uganda,55,frac_scoe_heat_energy_residential_solid_biomass,341252009.84082216,cb:scoe:indoor_air_pollution
